hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,last_limit_up_days_min,last_limit_up_days_max,limit_up_count_10_max,picks_per_day,valid_folds,total_test_trades,avg_test_win_rate,median_test_win_rate,avg_test_day_win_rate,avg_test_return,avg_test_max_drawdown,avg_test_profit_factor,win_rate_std,score
3,0.04,0.06,0.6,2,4,2,3,4,23,0.4910714285714286,0.5,0.6208333333333333,0.023591382667621143,-0.020528663957462834,34.178232318782364,0.2022715040184071,0.5948133087285868
2,0.04,0.08,0.6,2,4,2,3,4,25,0.5785714285714286,0.5571428571428572,0.6833333333333333,0.02865569620273168,-0.01397766970923403,2.3459087561153544,0.304640973030516,0.5930347472487666
2,0.04,0.1,0.6,2,5,2,1,4,30,0.5464285714285714,0.4642857142857143,0.5464285714285714,0.017541682764685276,-0.0717281290553303,7.092726165170493,0.1830509575534214,0.5929771386552805
4,0.02,0.1,0.6,2,4,1,3,4,34,0.4685897435897436,0.45,0.65,0.021399128699215782,-0.02574878161758329,4.129429087354937,0.1330541332197685,0.5928101546027521
2,0.04,0.08,0.7,2,4,2,3,4,49,0.518452380952381,0.5666666666666667,0.6815476190476191,0.010801642758480466,-0.06985773876434004,8.96359344542024,0.2866570507404781,0.5912595738373128
3,0.03,0.06,0.7,2,4,2,3,4,58,0.5437834224598931,0.5352941176470588,0.6392857142857142,0.013664650497131474,-0.08829214975519092,2.743101083574736,0.08331148671760044,0.5911453733386004
3,0.04,0.06,0.55,2,4,2,1,1,5,0.6,0.6,0.6,0.017892900006859395,-0.04575001246774302,2.313846795254067,0.0,0.5910892221324274
3,0.04,0.08,0.55,2,4,2,1,1,5,0.6,0.6,0.6,0.017892900006859395,-0.04575001246774302,2.313846795254067,0.0,0.5910892221324274
2,0.04,0.06,0.6,2,4,2,3,4,23,0.5744047619047619,0.5238095238095238,0.6833333333333333,0.029191151090849493,-0.015086939722212034,2.334103873380463,0.30168355554632875,0.5909613834928942
4,0.04,0.1,0.6,2,4,1,3,4,22,0.43253968253968256,0.38888888888888884,0.7,0.02412570851183573,-0.012472213029242452,4.416327385293428,0.14693260779026682,0.5903424331703295
3,0.03,0.06,0.6,2,4,1,1,2,10,0.5,0.5,0.5,0.02980877490152403,-0.02589502833957824,4.661142094698601,0.09999999999999998,0.5896631264810794
3,0.03,0.08,0.6,2,4,1,1,2,10,0.5,0.5,0.5,0.02980877490152403,-0.02589502833957824,4.661142094698601,0.09999999999999998,0.5896631264810794
2,0.04,0.06,0.7,2,4,1,2,4,29,0.5026515151515152,0.5303030303030303,0.6767857142857143,0.009950247952364025,-0.03853643479795413,7.833769176360941,0.24078130544612802,0.5896037456067168
2,0.04,0.06,0.7,2,4,2,3,4,44,0.52501665001665,0.5879120879120879,0.65,0.011628783090303362,-0.06563323606100716,19.025194364614215,0.28432411487046017,0.5895901146988989
3,0.02,0.08,0.6,2,4,1,3,4,33,0.48919413919413923,0.44505494505494503,0.5583333333333333,0.02319266855256659,-0.017358357171368965,6.638463845734387,0.10475213843152575,0.5891720576320228
3,0.04,0.06,0.7,2,4,1,1,3,16,0.5190476190476191,0.5,0.5190476190476191,0.03009871136415354,-0.02868141399474085,25.303562057882413,0.2686153290699134,0.5885684100129747
2,0.04,0.1,0.6,2,4,2,3,4,28,0.4952380952380952,0.5333333333333333,0.6208333333333333,0.01788872211086803,-0.026609843457145038,2.977743814660613,0.20832993194502245,0.5868502054592409
2,0.02,0.1,0.6,2,4,1,2,4,28,0.48863636363636365,0.4772727272727273,0.6291666666666667,0.0139578671680822,-0.02697722528013405,2.946471559818236,0.11948341133020836,0.5853909224168218
