trade_date,universe_n,after_filter_n,score_gate_n,breakout_pass_n,momentum_pass_n,quality_pass_n,trigger_pass_n,signal_ready_n,score_total_median,score_total_p75,score_total_p90,profile,after_filter_n_rate,score_gate_n_rate,breakout_pass_n_rate,momentum_pass_n_rate,quality_pass_n_rate,trigger_pass_n_rate,signal_ready_n_rate
20260311,68,23,23,14,23,15,19,19,0.0,88.09558823529412,92.73342546072075,neutral,0.3382352941176471,0.3382352941176471,0.20588235294117646,0.3382352941176471,0.22058823529411764,0.27941176470588236,0.27941176470588236
20260312,64,26,26,11,25,17,20,20,0.0,82.57737876181456,94.5873952465001,neutral,0.40625,0.40625,0.171875,0.390625,0.265625,0.3125,0.3125
20260313,42,9,9,7,9,5,8,8,0.0,0.0,89.41823475726075,neutral,0.21428571428571427,0.21428571428571427,0.16666666666666666,0.21428571428571427,0.11904761904761904,0.19047619047619047,0.19047619047619047
20260316,53,20,20,9,16,8,10,10,0.0,83.35115401508762,94.13603965242226,neutral,0.37735849056603776,0.37735849056603776,0.16981132075471697,0.3018867924528302,0.1509433962264151,0.18867924528301888,0.18867924528301888
20260317,26,12,12,11,11,5,10,10,0.0,78.18806739265949,96.43160252292932,neutral,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.4230769230769231,0.19230769230769232,0.38461538461538464,0.38461538461538464
20260318,23,7,7,4,6,4,6,6,0.0,86.6126091082853,95.33076186606206,neutral,0.30434782608695654,0.30434782608695654,0.17391304347826086,0.2608695652173913,0.17391304347826086,0.2608695652173913,0.2608695652173913
20260319,19,13,13,11,12,6,12,12,87.36612262743594,91.06244218442782,97.74414329309444,neutral,0.6842105263157895,0.6842105263157895,0.5789473684210527,0.631578947368421,0.3157894736842105,0.631578947368421,0.631578947368421
20260320,17,8,8,7,8,6,8,8,0.0,92.16880089576937,94.73192199578679,neutral,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.47058823529411764,0.35294117647058826,0.47058823529411764,0.47058823529411764
20260323,6,4,4,3,3,3,3,3,77.28040589695398,84.99650669774402,91.28885918445145,neutral,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.5
20260324,15,4,4,2,4,4,4,4,0.0,42.483468885984784,92.71712694107882,neutral,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
20260325,39,18,18,12,18,12,18,18,0.0,85.20923643047198,94.76018358003881,neutral,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.46153846153846156
20260326,21,10,10,7,8,5,7,7,0.0,78.12488194261599,85.1323546965278,neutral,0.47619047619047616,0.47619047619047616,0.3333333333333333,0.38095238095238093,0.23809523809523808,0.3333333333333333,0.3333333333333333
20260327,30,20,20,13,19,12,15,15,77.63652082746177,88.28676470588236,97.1782953004929,neutral,0.6666666666666666,0.6666666666666666,0.43333333333333335,0.6333333333333333,0.4,0.5,0.5
ALL,1529,498,493,265,471,271,371,370,0.0,78.24990410076236,90.64475070036232,neutral,0.32570307390451275,0.3224329627207325,0.17331589274035317,0.3080444735120994,0.17724002616088946,0.24264224983649443,0.2419882275997384
20260206,36,13,13,6,11,5,7,7,0.0,75.02070714998636,84.71257552863639,strict,0.3611111111111111,0.3611111111111111,0.16666666666666666,0.3055555555555556,0.1388888888888889,0.19444444444444445,0.19444444444444445
20260209,81,22,22,4,18,7,8,8,0.0,62.15400545426938,79.61845686177018,strict,0.2716049382716049,0.2716049382716049,0.04938271604938271,0.2222222222222222,0.08641975308641975,0.09876543209876543,0.09876543209876543
20260210,57,14,14,1,10,5,5,5,0.0,0.0,87.73094962760423,strict,0.24561403508771928,0.24561403508771928,0.017543859649122806,0.17543859649122806,0.08771929824561403,0.08771929824561403,0.08771929824561403
20260211,61,16,14,4,14,5,5,5,0.0,41.276683173903535,82.57941807259331,strict,0.26229508196721313,0.22950819672131148,0.06557377049180328,0.22950819672131148,0.08196721311475409,0.08196721311475409,0.08196721311475409
20260212,53,8,8,2,7,4,4,4,0.0,0.0,83.53308993532274,strict,0.1509433962264151,0.1509433962264151,0.03773584905660377,0.1320754716981132,0.07547169811320754,0.07547169811320754,0.07547169811320754
20260213,24,10,10,3,8,2,5,5,0.0,86.33789831192979,93.23863645722601,strict,0.4166666666666667,0.4166666666666667,0.125,0.3333333333333333,0.08333333333333333,0.20833333333333334,0.20833333333333334
20260224,97,17,17,4,17,11,12,12,0.0,0.0,82.38196416282862,strict,0.17525773195876287,0.17525773195876287,0.041237113402061855,0.17525773195876287,0.1134020618556701,0.12371134020618557,0.12371134020618557
20260225,112,23,22,9,21,13,18,18,0.0,0.0,84.0198229503642,strict,0.20535714285714285,0.19642857142857142,0.08035714285714286,0.1875,0.11607142857142858,0.16071428571428573,0.16071428571428573
20260226,114,17,16,8,16,7,11,11,0.0,0.0,70.58863636363637,strict,0.14912280701754385,0.14035087719298245,0.07017543859649122,0.14035087719298245,0.06140350877192982,0.09649122807017543,0.09649122807017543
20260227,109,19,19,10,16,11,14,14,0.0,0.0,82.87240180423613,strict,0.1743119266055046,0.1743119266055046,0.09174311926605505,0.14678899082568808,0.10091743119266056,0.12844036697247707,0.12844036697247707
20260302,91,17,16,9,15,4,9,9,0.0,0.0,83.04948817099515,strict,0.18681318681318682,0.17582417582417584,0.0989010989010989,0.16483516483516483,0.04395604395604396,0.0989010989010989,0.0989010989010989
20260303,41,9,9,9,9,4,7,7,0.0,0.0,83.0955231950885,strict,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.0975609756097561,0.17073170731707318,0.17073170731707318
20260304,28,9,9,4,9,5,7,7,0.0,79.04862726680453,86.81363636363638,strict,0.32142857142857145,0.32142857142857145,0.14285714285714285,0.32142857142857145,0.17857142857142858,0.25,0.25
20260305,33,11,11,6,11,6,9,9,0.0,76.91370694775206,89.62628845869692,strict,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.18181818181818182,0.2727272727272727,0.2727272727272727
20260306,74,8,8,2,8,4,5,5,0.0,0.0,50.761048530445485,strict,0.10810810810810811,0.10810810810810811,0.02702702702702703,0.10810810810810811,0.05405405405405406,0.06756756756756757,0.06756756756756757
20260309,37,7,7,6,6,5,5,5,0.0,0.0,84.6909610845773,strict,0.1891891891891892,0.1891891891891892,0.16216216216216217,0.16216216216216217,0.13513513513513514,0.13513513513513514,0.13513513513513514
20260310,58,11,11,6,10,4,8,8,0.0,0.0,88.27051348547718,strict,0.1896551724137931,0.1896551724137931,0.10344827586206896,0.1724137931034483,0.06896551724137931,0.13793103448275862,0.13793103448275862
20260311,68,17,17,7,15,11,12,12,0.0,17.2283718071986,90.43863636363638,strict,0.25,0.25,0.10294117647058823,0.22058823529411764,0.16176470588235295,0.17647058823529413,0.17647058823529413
20260312,64,20,19,6,18,8,11,11,0.0,80.89814393823659,90.09008759495026,strict,0.3125,0.296875,0.09375,0.28125,0.125,0.171875,0.171875
20260313,42,6,6,4,6,4,5,5,0.0,0.0,84.18047349176263,strict,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.11904761904761904,0.11904761904761904
20260316,53,16,16,5,13,4,8,8,0.0,79.50531914893617,87.60615869713202,strict,0.3018867924528302,0.3018867924528302,0.09433962264150944,0.24528301886792453,0.07547169811320754,0.1509433962264151,0.1509433962264151
20260317,26,4,4,3,3,1,3,3,0.0,0.0,78.26680795929485,strict,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.11538461538461539
20260318,23,5,5,3,4,2,4,4,0.0,0.0,94.65052029816412,strict,0.21739130434782608,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.08695652173913043,0.17391304347826086,0.17391304347826086
20260319,19,12,12,11,10,5,9,9,84.78562249945257,90.22150155775209,94.29985309253664,strict,0.631578947368421,0.631578947368421,0.5789473684210527,0.5263157894736842,0.2631578947368421,0.47368421052631576,0.47368421052631576
20260320,17,5,5,4,5,2,3,3,0.0,75.3667657771917,92.25324890181213,strict,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.17647058823529413
20260323,6,3,3,2,3,3,3,3,37.44471820438343,80.30141944196805,88.33278237597042,strict,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5
20260324,15,2,2,0,2,2,2,2,0.0,0.0,56.595218864348595,strict,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
20260325,39,14,14,7,14,8,11,11,0.0,82.20972902891124,91.9767384210349,strict,0.358974358974359,0.358974358974359,0.1794871794871795,0.358974358974359,0.20512820512820512,0.28205128205128205,0.28205128205128205
20260326,21,7,7,3,5,3,4,4,0.0,70.0,81.26153948196503,strict,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.19047619047619047
20260327,30,13,13,8,12,6,9,9,0.0,78.68522200238681,93.43047674824787,strict,0.43333333333333335,0.43333333333333335,0.26666666666666666,0.4,0.2,0.3,0.3
ALL,1529,355,349,156,316,161,223,223,0.0,8.6141859035993,84.70176830660685,strict,0.23217789404839764,0.22825376062786135,0.10202746893394375,0.2066710268149117,0.105297580117724,0.1458469587965991,0.1458469587965991
