ts_code,trade_date,name,industry,label_true_breakout,path_source,score_total,rank_global_after_merge,rank_bucket,buy_date,buy_open_t1,close_t1,close_t2,close_t3,ret_t1,ret_t2,ret_t3,win_t1,win_t2,win_t3
600778.SH,20260204,友好集团,百货,G,B,0.7215487638785562,3,top3,20260205,7.94,8.38,7.76,7.76,0.055415617128463435,-0.02267002518891692,-0.02267002518891692,True,False,False
601096.SH,20260204,宏盛华源,钢加工,C,B,0.79086386355105,2,top2,20260205,6.28,5.89,5.83,5.94,-0.06210191082802552,-0.07165605095541405,-0.05414012738853502,False,False,False
600754.SH,20260205,锦江酒店,酒店餐饮,C,B,0.6736886049812202,3,top3,20260206,28.45,27.81,27.87,28.17,-0.022495606326889295,-0.020386643233743396,-0.009841827768014011,False,False,False
600841.SH,20260205,动力新科,汽车配件,G,A,0.8427515074579499,1,top1,20260206,9.51,9.55,10.51,10.99,0.004206098843323014,0.10515247108307046,0.1556256572029444,True,True,True
603345.SH,20260205,安井食品,食品,G,B,0.6892691950119327,2,top2,20260206,90.16,91.73,93.57,90.01,0.017413487133984162,0.037821650399290085,-0.0016637089618455336,True,True,False
002842.SZ,20260206,翔鹭钨业,小金属,A,A,0.864760393525865,1,top1,20260209,29.42,30.2,31.83,35.01,0.026512576478585848,0.08191706322229764,0.19000679809653276,True,True,True
600028.SH,20260206,中国石化,石油加工,G,B,0.6281649280077192,3,top3,20260209,6.5,6.5,6.46,6.54,0.0,-0.006153846153846176,0.006153846153846176,False,False,True
605196.SH,20260206,华通线缆,电气设备,A,B,0.6570102592256255,2,top2,20260209,43.0,44.7,44.68,45.62,0.03953488372093039,0.039069767441860526,0.06093023255813956,True,True,True
001228.SZ,20260209,永泰运,仓储物流,G,B,0.8057713307780143,2,top2,20260210,32.74,31.95,32.23,32.47,-0.024129505192425293,-0.015577275503970811,-0.008246792913866874,False,False,False
600261.SH,20260209,阳光照明,家用电器,C,B,0.7666749540498824,3,top3,20260210,3.84,3.87,3.82,3.81,0.0078125,-0.00520833333333337,-0.0078125,True,False,False
603663.SH,20260209,三祥新材,小金属,G,A,0.8760425261821644,1,top1,20260210,46.05,45.97,46.27,45.94,-0.001737242128121541,0.004777415852334599,-0.0023887079261671884,False,True,False
002806.SZ,20260210,华锋股份,汽车配件,A,A,0.8807315138051413,1,top1,20260211,16.08,16.18,17.02,17.1,0.006218905472636926,0.05845771144278622,0.06343283582089576,True,True,True
600388.SH,20260210,龙净环保,环境保护,A,B,0.761856815258777,3,top3,20260211,18.54,18.77,19.01,18.69,0.012405609492988079,0.025350593311758596,0.008090614886731462,True,True,True
603186.SH,20260210,华正新材,元器件,A,B,0.791092311094294,2,top2,20260211,75.27,77.09,77.61,79.93,0.024179620034542326,0.031088082901554515,0.06191045569283915,True,True,True
000899.SZ,20260211,赣能股份,火力发电,A,B,0.7497048137521327,2,top2,20260212,10.85,10.94,10.5,10.97,0.008294930875575979,-0.032258064516129004,0.011059907834101379,True,False,True
002859.SZ,20260211,洁美科技,元器件,A,A,0.8364915899714378,1,top1,20260212,41.0,41.15,40.93,44.2,0.003658536585365857,-0.0017073170731707332,0.07804878048780495,True,False,True
