trade_date,stock_code,stock_name,ts_code,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,path_source,in_C2A,in_ech2_s2,in_mainline_current,mainline_channel,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close
20260130,600371.SH,万向德农,600371.SH,C,0,0,0,1,0,,False,False,False,none,,0.4993290645879732,0.7551443945703316,0.9993722001989344,0.6400000000000006,0.8579816513761468,,-0.0333670374115268,-0.025278058645096024,-0.044489383215369216
20260130,600403.SH,大有能源,600403.SH,C,0,0,0,1,0,,False,False,False,none,,0.40408129175946544,0.49585609215293924,0.4205359184868056,0.5636363636363639,0.5511926605504587,,-0.04604316546762599,-0.037410071942446055,0.05899280575539567
20260130,600406.SH,国电南瑞,600406.SH,G,0,0,0,0,1,,False,False,False,none,,0.4508908685968819,0.5499770158455465,0.7388163976851028,0.5924276169265036,0.7533944954128441,,-0.0007843137254901489,0.017254901960784386,0.014509803921568754
20260130,600467.SH,好当家,600467.SH,C,0,0,0,1,0,,False,False,False,none,,0.7505038975501113,0.31092152939267753,0.7991672388844638,0.38461538461538425,0.5601834862385321,,-0.02941176470588236,-0.02573529411764719,-0.003676470588235392
20260130,600505.SH,西昌电力,600505.SH,C,0,0,0,1,0,,False,False,False,none,,0.43728841870824053,0.2130631117841112,0.6470721048689007,0.6227272727272726,0.6436697247706422,,-0.011428571428571455,-0.0071428571428571175,0.0
20260130,600510.SH,黑牡丹,600510.SH,C,0,0,0,1,0,,False,False,False,none,,0.4705790645879733,0.22037748093667192,0.96878396449352,0.5875000000000002,0.8165137614678899,,-0.06301652892561982,-0.029958677685950286,-0.02685950413223137
20260130,600517.SH,国网英大,600517.SH,G,0,0,0,0,1,,False,False,False,none,,0.5741592427616926,0.03969498675031096,0.8117302176263503,0.4751773049645389,0.7346788990825688,,-0.014814814814814725,0.010370370370370363,0.020740740740740726
20260130,600583.SH,海油工程,600583.SH,C,0,0,0,1,0,,False,False,False,none,,0.3581375278396437,0.35084635768752365,0.9310647480127374,0.6190476190476192,0.8880733944954129,,0.0,0.007776049766718529,0.04043545878693644
20260130,600667.SH,太极实业,600667.SH,C,0,0,0,1,0,,False,False,False,none,,0.2946269487750557,0.45667486885511865,0.9999999999999999,0.6413043478260868,0.9724770642201835,,-0.0656799259944496,-0.0601295097132285,-0.08880666049953756
20260130,600684.SH,珠江股份,600684.SH,G,0,0,0,0,1,,False,False,False,none,,0.3387138084632516,0.32640203342166463,0.6647183808937182,0.6941176470588236,0.7387155963302753,,0.012474012474012586,0.016632016632016633,0.037422037422037535
20260130,600710.SH,苏美达,600710.SH,G,0,0,0,0,1,,False,False,False,none,,0.4961024498886414,0.1137174841814937,0.9729464492672223,0.650943396226416,0.6466055045871559,,-0.01899827288428335,0.04663212435233155,0.07685664939550962
20260130,600737.SH,中粮糖业,600737.SH,C,0,0,0,1,0,,False,False,False,none,,0.28732461024498884,0.48278216429614407,0.8415595035744503,0.9790209790209782,0.44036697247706424,,-0.03342939481268026,-0.032276657060518854,-0.039769452449567755
20260130,600750.SH,华润江中,600750.SH,G,0,0,0,0,1,,False,False,False,none,,0.2737750556792873,0.2011451516954194,0.9888834284113871,0.9233870967741931,0.6212844036697248,,-0.009240658899156262,0.012454801124949677,0.007231820008035239
