trade_date,stock_code,stock_name,ts_code,input_tier,path_source,in_C2A,in_ech2_s2,in_mainline_current,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,label_A_high,label_A_mid,label_A_low,label_C,label_G,ret_t1_close,ret_t2_close,ret_t3_close
20250625,000915.SZ,华特达因,000915.SZ,main_channel,B,True,False,True,0.6980840157590392,0.7563919821826279,0.17182683467632903,0.8441559448661381,0.3567134268537075,0.7075279755849441,3.0,1,0,0,0,0,-0.0041760359781560785,0.04208159331834249,0.13556055252168342
20250626,601528.SH,瑞丰银行,601528.SH,main_channel,B,True,False,True,0.8019377292253245,0.8463641425389754,0.5446636201395274,0.999261765711767,0.27848101265822783,0.8819938962360122,2.0,0,0,0,0,1,-0.021630615640598982,-0.03660565723793674,-0.028286189683860208
20250627,600711.SH,盛屯矿业,600711.SH,main_channel,B,True,False,True,0.7405349831257616,0.6703201559020044,0.6153736953112324,0.9908837653235387,0.49253731343283597,0.9201017811704835,3.0,1,0,0,0,0,0.011200000000000099,0.054400000000000004,0.0656000000000001
20250630,600379.SH,宝光股份,600379.SH,main_channel,A,True,False,True,0.8144710978257513,0.5545601336302894,0.905771726786004,0.9142030310088018,0.4507462686567164,0.879837067209776,1.0,1,0,0,0,0,0.06454388984509474,0.0688468158347677,0.040447504302925985
20250701,603988.SH,中电电机,603988.SH,main_channel,A,True,False,True,0.8650605700070305,0.450673719376392,0.7507706451787356,0.9472298434124591,0.5212527964205818,0.9679226069246436,1.0,0,0,0,1,0,-0.003941239699032595,-0.0637764242207095,-0.09136510211393767
20250702,605020.SH,永和股份,605020.SH,main_channel,A,True,False,True,0.8698088259153103,0.5010579064587972,0.7013141528311071,0.9752271689043834,0.5993485342019543,0.9460285132382892,1.0,0,0,0,0,1,-0.015734989648033104,-0.01697722567287785,-0.0008281573498964967
20250703,000889.SZ,中嘉博创,000889.SZ,main_channel,A,True,False,True,0.8330747390622466,0.6347383073496659,0.6416837921150831,0.914097081135025,0.33132530120481923,0.9674300254452927,1.0,0,0,0,0,1,-0.07729468599033817,-0.07729468599033817,-0.07004830917874383
20250704,600645.SH,中源协和,600645.SH,main_channel,B,True,False,True,0.80161303941143,0.7323830734966592,0.3207844356714077,0.9999999999999998,0.3606911447084238,0.9033078880407125,3.0,0,0,0,0,1,-0.009615384615384581,0.028846153846153744,0.006153846153846176
20250707,601860.SH,紫金银行,601860.SH,main_channel,B,True,False,True,0.6411450260062792,0.523424276169265,0.3912646692985777,0.993360116459188,0.5945945945945937,0.8835198372329603,4.0,0,0,0,0,1,0.0031446540880502027,0.025157232704402288,0.037735849056603765
20250708,600063.SH,皖维高新,600063.SH,main_channel,B,True,False,True,0.777407595177956,0.7287861915367484,0.27698610134660107,0.9900408263749568,0.4444444444444448,0.8518329938900203,3.0,0,0,0,1,0,-0.010266940451745366,-0.008213552361396315,-0.006160164271047264
