ts_code,trade_date,name,industry,label_true_breakout,a_quality_layer,path_source,score_total,score_trend_axis_single,score_platform_axis_single,score_chip_axis_single,score_industry_axis_single,f_strength_rs20_xsec_q,f_platform_compress_ratio,f_chip_winner_rate,f_ind_peer_strong_count,ret_t1,ret_t2,ret_t3,selected_c_reason,firewall_reason,core_keep,failure_quadrant,ahigh_subtype
601898.SH,20260303,中煤能源,煤炭开采,C,,A,0.852788537863153,0.8935713571330328,0.3148939750925614,0.5856608758759894,0.6966581997142404,0.9732011747430249,0.6980676328502415,0.9963511502603042,12.0,0.0117647058823529,0.0311764705882353,0.0194117647058822,trend_chase_C,mixed_pseudo_firewall,False,dropped_C,
000592.SZ,20260304,平潭发展,林业,C,,B,0.7369819747768295,0.8763605965286728,0.6101312689330192,0.8302856235683669,0.1770717574218129,0.9467694566813509,0.380952380952381,0.9713917270835034,1.0,-0.0263367916999202,-0.0391061452513966,-0.0726256983240223,mixed_pseudo_C,,False,dropped_C,
001278.SZ,20260304,一彬科技,汽车配件,C,,B,0.7762823381722039,0.8933052903598269,0.6903904409289802,0.8286247817113828,0.3128671217653596,0.9555800293685757,0.36923076923076936,0.9047088371918636,6.0,-0.067022086824067,-0.0769230769230769,-0.0963442498095963,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
002378.SZ,20260304,章源钨业,小金属,C,,A,0.8370876329576123,0.909752785311938,0.1895489734096264,0.847557957045336,0.5293498968090172,0.998898678414097,0.7176234979973298,0.9866313562517999,10.0,-0.0889276373147341,-0.0257192676547515,-0.0211421098517874,platform_false_break_C,,True,kept_C,
000591.SZ,20260305,太阳能,新型电力,A,A_mid,B,0.7675711782353373,0.7182802215448995,0.7450353416358129,0.7939566597872678,0.5514962692490871,0.8414096916299559,0.3511450381679388,0.9465155929816356,8.0,0.0162601626016258,0.0406504065040649,0.0227642276422763,,platform_integrity_firewall,False,,
600236.SH,20260305,桂冠电力,水力发电,C,,A,0.8373813303699,0.9029075849255368,0.1689161898350723,0.5780678338965369,0.6316081917764724,0.9875183553597651,0.8322147651006714,0.9978820217149472,9.0,0.0082872928176795,-0.0395948434622467,-0.0524861878453039,trend_chase_C,mixed_pseudo_firewall,False,dropped_C,
003035.SZ,20260306,南网能源,新型电力,A,A_high,A,0.8467478964915066,0.9065071170241588,0.3441854594412655,0.7651918898691401,0.6727655183362438,0.9849486049926579,0.6031746031746031,0.9380550926537911,16.0,0.098623853211009,0.1066513761467888,0.1571100917431191,,,True,kept_Ahigh,high_momentum_frontline_A
600873.SH,20260306,梅花生物,食品,A,A_low,B,0.7372750538329131,0.6243449341401516,0.7514641534836756,0.6346976957793754,0.6487339260200031,0.788546255506608,0.46874999999999994,0.9996417898277691,29.0,-0.0058774139378673,-0.0369437447523089,0.0596137699412258,,,False,,
603097.SH,20260306,江苏华辰,电气设备,C,,B,0.7349536254692857,0.8641731949616834,0.5305957590037024,0.8621019322795,0.813621209715828,0.9273127753303965,0.5293551491819056,0.9999999999999997,56.0,0.0215,0.0387499999999998,0.0272499999999999,mixed_pseudo_C,,True,kept_C,
000048.SZ,20260309,京基智农,农业综合,A,A_high,B,0.7005609339955333,0.4472616817802334,0.6847021204981487,0.6770505295625155,0.2785561200190506,0.6732673267326733,0.3677298311444648,0.8812083367099548,3.0,0.0300590445517983,0.048845947396672,0.0848094471282878,,platform_integrity_firewall,False,dropped_Ahigh,mixed_Ahigh
001267.SZ,20260309,汇绿生态,通信设备,A,A_high,A,0.837809969836482,0.9070362191944644,0.308751262201279,0.961290896514186,0.4248293379901571,0.984965163182985,0.6374639769452447,0.9984529735542426,9.0,0.0429223744292237,0.1210045662100458,0.0509132420091325,,,True,kept_Ahigh,high_momentum_frontline_A
000927.SZ,20260310,中国铁物,仓储物流,A,A_mid,B,0.7296560193453033,0.4306941605774765,0.7661225176708178,0.629594062549611,0.4631092236862993,0.6661775495231108,0.4090909090909095,0.9815317780327542,9.0,0.0269360269360268,0.0235690235690235,0.0336700336700335,,,False,,
002169.SZ,20260310,智光电气,电气设备,C,,B,0.769677303540837,0.8439429128119577,0.6287277011107371,0.9030492368403148,0.954576123194158,0.9097578870139399,0.40555555555555556,0.9744594930483583,54.0,-0.0233128834355829,-0.0214723926380369,-0.047239263803681,mixed_pseudo_C,,True,kept_C,
000688.SZ,20260311,国城矿业,铅锌,C,,B,0.6852378307595887,0.8942267962975721,0.6045775833052844,0.7329485746036786,0.1476623273535482,0.9424486803519062,0.41384388807069206,0.8883173133296486,2.0,0.0152112676056337,0.0253521126760563,0.0149295774647888,mixed_pseudo_C,mixed_pseudo_firewall,False,dropped_C,
001207.SZ,20260311,联科科技,化工原料,C,,A,0.8708462651383899,0.8085708886162514,0.2837933355772467,0.755274714807339,0.913617240831878,0.8955278592375366,0.9543859649122811,0.9999999999999999,56.0,0.0236593059936909,-0.02397476340694,-0.0712933753943216,mixed_pseudo_C,,True,kept_C,
