k,combo,support_keptC,support_keptAhigh,diff_C_minus_A,nC,nA
2,score_platform_axis_single>=q40(0.3080) & f_platform_compress_ratio<=q60(0.6772),0.5161290322580645,0.75,-0.2338709677419355,16,6
2,score_platform_axis_single>=q40(0.3080) & f_chip_winner_rate<=q60(0.9925),0.22580645161290322,0.625,-0.39919354838709675,7,5
2,score_trend_axis_single>=q60(0.9030) & score_industry_axis_single<=q40(0.6460),0.0967741935483871,0.375,-0.2782258064516129,3,3
2,score_trend_axis_single>=q60(0.9030) & score_industry_axis_single<=q60(0.7378),0.22580645161290322,0.5,-0.27419354838709675,7,4
2,score_trend_axis_single>=q60(0.9030) & f_strength_rs20_xsec_q>=q40(0.9473),0.3548387096774194,0.625,-0.2701612903225806,11,5
2,score_trend_axis_single>=q60(0.9030) & f_platform_compress_ratio<=q60(0.6772),0.1935483870967742,0.5,-0.3064516129032258,6,4
2,score_trend_axis_single>=q60(0.9030) & f_chip_winner_rate<=q60(0.9925),0.1935483870967742,0.5,-0.3064516129032258,6,4
2,score_industry_axis_single<=q40(0.6460) & score_industry_axis_single<=q60(0.7378),0.3548387096774194,0.625,-0.2701612903225806,11,5
2,score_industry_axis_single<=q40(0.6460) & f_strength_rs20_xsec_q>=q40(0.9473),0.22580645161290322,0.5,-0.27419354838709675,7,4
2,score_industry_axis_single<=q40(0.6460) & f_platform_compress_ratio<=q60(0.6772),0.1935483870967742,0.625,-0.4314516129032258,6,5
2,score_industry_axis_single<=q40(0.6460) & f_chip_winner_rate<=q60(0.9925),0.1935483870967742,0.375,-0.1814516129032258,6,3
2,score_industry_axis_single<=q60(0.7378) & f_strength_rs20_xsec_q>=q40(0.9473),0.3548387096774194,0.625,-0.2701612903225806,11,5
2,score_industry_axis_single<=q60(0.7378) & f_platform_compress_ratio<=q60(0.6772),0.3548387096774194,0.75,-0.3951612903225806,11,6
2,score_industry_axis_single<=q60(0.7378) & f_chip_winner_rate<=q60(0.9925),0.2903225806451613,0.5,-0.2096774193548387,9,4
2,f_strength_rs20_xsec_q>=q40(0.9473) & f_platform_compress_ratio<=q60(0.6772),0.2903225806451613,0.625,-0.3346774193548387,9,5
