ts_code,event_interval_days
000582.SZ,10
000582.SZ,19
000582.SZ,21
000582.SZ,20
000582.SZ,21
000582.SZ,18
000582.SZ,12
000582.SZ,27
000586.SZ,28
000586.SZ,33
000586.SZ,64
000586.SZ,22
000586.SZ,27
000586.SZ,29
000589.SZ,44
000589.SZ,19
000589.SZ,17
000589.SZ,21
000589.SZ,24
000589.SZ,21
000589.SZ,21
000590.SZ,26
000590.SZ,72
000591.SZ,19
000591.SZ,31
000591.SZ,7
000591.SZ,20
000591.SZ,27
000591.SZ,17
000591.SZ,55
000591.SZ,18
000591.SZ,17
000591.SZ,27
000591.SZ,8
000591.SZ,19
000592.SZ,23
000592.SZ,7
000592.SZ,19
000592.SZ,22
000592.SZ,25
000592.SZ,17
000592.SZ,22
000592.SZ,24
000592.SZ,18
000592.SZ,24
000592.SZ,17
000592.SZ,22
000592.SZ,27
000592.SZ,27
000592.SZ,26
000593.SZ,19
000593.SZ,45
000593.SZ,19
000593.SZ,29
000593.SZ,27
000596.SZ,63
000596.SZ,7
000596.SZ,19
000596.SZ,8
000596.SZ,17
000596.SZ,56
000596.SZ,10
000596.SZ,17
000596.SZ,46
000596.SZ,17
000596.SZ,63
000597.SZ,42
000597.SZ,254
000598.SZ,21
000598.SZ,31
000598.SZ,10
000598.SZ,88
000598.SZ,19
000598.SZ,35
000598.SZ,22
000598.SZ,26
000598.SZ,37
000599.SZ,76
000599.SZ,25
000599.SZ,30
000599.SZ,19
000599.SZ,31
000599.SZ,28
000599.SZ,25
000599.SZ,25
000600.SZ,19
000600.SZ,20
000600.SZ,17
000600.SZ,45
000600.SZ,14
000600.SZ,7
000600.SZ,31
000600.SZ,19
000600.SZ,45
000600.SZ,11
000600.SZ,21
000600.SZ,30
000600.SZ,15
000600.SZ,19
000601.SZ,53
000601.SZ,20
000601.SZ,30
000601.SZ,78
000601.SZ,75
000601.SZ,35
000601.SZ,17
000603.SZ,17
000603.SZ,21
000603.SZ,24
000603.SZ,17
000603.SZ,19
000603.SZ,17
000603.SZ,48
000603.SZ,19
000603.SZ,17
000603.SZ,21
000603.SZ,19
000603.SZ,33
000603.SZ,37
000607.SZ,46
000607.SZ,84
000607.SZ,63
000610.SZ,50
000610.SZ,21
000610.SZ,19
000610.SZ,10
000610.SZ,70
000610.SZ,25
000610.SZ,23
000612.SZ,18
000612.SZ,20
000612.SZ,15
000612.SZ,19
000612.SZ,19
000612.SZ,25
000612.SZ,27
000612.SZ,19
000612.SZ,17
000612.SZ,21
000612.SZ,19
000612.SZ,21
000612.SZ,20
000612.SZ,27
000617.SZ,20
000617.SZ,19
000617.SZ,17
000617.SZ,19
000617.SZ,27
000617.SZ,17
000617.SZ,35
000617.SZ,19
000617.SZ,40
000617.SZ,17
000617.SZ,18
000617.SZ,44
000617.SZ,19
000617.SZ,17
000620.SZ,51
000620.SZ,46
000620.SZ,18
000620.SZ,32
000620.SZ,23
000620.SZ,19
000620.SZ,42
000620.SZ,17
000620.SZ,52
000623.SZ,21
000623.SZ,21
000623.SZ,15
000623.SZ,13
000623.SZ,19
000623.SZ,11
000623.SZ,38
000623.SZ,25
000623.SZ,19
000623.SZ,41
000623.SZ,13
000623.SZ,17
000623.SZ,76
000625.SZ,7
000625.SZ,13
000625.SZ,21
000625.SZ,20
000625.SZ,12
000625.SZ,21
000625.SZ,53
000625.SZ,19
000625.SZ,48
000625.SZ,21
000626.SZ,23
000626.SZ,118
000628.SZ,62
000628.SZ,12
000628.SZ,17
000628.SZ,19
000628.SZ,26
000628.SZ,84
000628.SZ,11
000628.SZ,21
000628.SZ,27
000628.SZ,27
000628.SZ,28
000629.SZ,49
000629.SZ,8
000629.SZ,11
000629.SZ,21
000629.SZ,14
000629.SZ,14
000629.SZ,7
000629.SZ,14
000629.SZ,28
000629.SZ,9
000629.SZ,44
000629.SZ,7
000629.SZ,11
000629.SZ,17
000629.SZ,32
000630.SZ,21
000630.SZ,7
000630.SZ,16
000630.SZ,19
000630.SZ,19
000630.SZ,17
000630.SZ,19
000630.SZ,17
000630.SZ,27
000630.SZ,39
000630.SZ,17
000630.SZ,21
000630.SZ,19
000630.SZ,28
000632.SZ,141
000632.SZ,21
000632.SZ,20
000633.SZ,63
000633.SZ,62
000633.SZ,43
000633.SZ,19
000633.SZ,34
000633.SZ,13
000635.SZ,44
000636.SZ,33
000636.SZ,9
000636.SZ,11
000636.SZ,16
000636.SZ,7
000636.SZ,19
000636.SZ,9
000636.SZ,28
000636.SZ,9
000636.SZ,25
000636.SZ,24
000636.SZ,19
000636.SZ,9
000636.SZ,19
000636.SZ,27
000637.SZ,65
000637.SZ,120
000639.SZ,18
000639.SZ,45
000639.SZ,30
000639.SZ,20
000639.SZ,55
000639.SZ,25
000639.SZ,24
000639.SZ,84
000650.SZ,8
000650.SZ,21
000650.SZ,19
000650.SZ,64
000650.SZ,56
000650.SZ,20
000651.SZ,48
000651.SZ,9
000651.SZ,28
000651.SZ,17
000651.SZ,63
000651.SZ,16
000651.SZ,19
000651.SZ,16
000651.SZ,34
000651.SZ,52
000651.SZ,19
000652.SZ,114
000652.SZ,53
000655.SZ,50
000655.SZ,19
000655.SZ,17
000655.SZ,66
000655.SZ,38
000657.SZ,19
000657.SZ,20
000657.SZ,17
000657.SZ,12
000657.SZ,19
000657.SZ,22
000657.SZ,17
000657.SZ,42
000657.SZ,19
000657.SZ,23
000657.SZ,19
000657.SZ,21
000657.SZ,19
000657.SZ,25
000659.SZ,66
000659.SZ,26
000659.SZ,27
000659.SZ,17
000659.SZ,19
000659.SZ,42
000661.SZ,19
000661.SZ,15
000661.SZ,21
000661.SZ,19
000661.SZ,17
000661.SZ,24
000661.SZ,17
000661.SZ,110
000661.SZ,17
000661.SZ,33
000661.SZ,19
000663.SZ,17
000663.SZ,19
000663.SZ,44
000665.SZ,17
000665.SZ,48
000665.SZ,9
000665.SZ,7
000665.SZ,19
000665.SZ,35
000665.SZ,28
000665.SZ,19
000665.SZ,50
000665.SZ,42
000670.SZ,17
000670.SZ,27
000670.SZ,19
000670.SZ,24
000670.SZ,19
000670.SZ,44
000670.SZ,32
000670.SZ,56
000670.SZ,35
000670.SZ,37
000672.SZ,27
000672.SZ,50
000672.SZ,27
000672.SZ,41
000672.SZ,22
000672.SZ,21
000672.SZ,17
000672.SZ,27
000676.SZ,20
000676.SZ,8
000676.SZ,19
000676.SZ,17
000676.SZ,33
000676.SZ,19
000676.SZ,63
000676.SZ,18
000676.SZ,39
000676.SZ,10
000676.SZ,20
000677.SZ,17
000677.SZ,32
000677.SZ,17
000677.SZ,28
000677.SZ,204
000677.SZ,19
000678.SZ,19
000678.SZ,21
000678.SZ,27
000678.SZ,21
000678.SZ,21
000678.SZ,70
000678.SZ,25
000678.SZ,19
000678.SZ,21
000678.SZ,84
000679.SZ,25
000679.SZ,70
000680.SZ,30
000680.SZ,23
000680.SZ,10
000680.SZ,7
000680.SZ,17
000680.SZ,33
000680.SZ,10
000680.SZ,24
000680.SZ,17
000680.SZ,36
000680.SZ,12
000680.SZ,9
000680.SZ,21
000680.SZ,19
000680.SZ,63
000681.SZ,32
000681.SZ,30
000681.SZ,9
000681.SZ,13
000681.SZ,19
000681.SZ,7
000681.SZ,44
000681.SZ,25
000681.SZ,17
000681.SZ,40
000681.SZ,21
000681.SZ,21
000682.SZ,19
000682.SZ,13
000682.SZ,8
000682.SZ,22
000682.SZ,7
000682.SZ,28
000682.SZ,27
000682.SZ,20
000682.SZ,36
000682.SZ,17
000682.SZ,12
000682.SZ,9
000682.SZ,19
000682.SZ,28
000683.SZ,27
000683.SZ,11
000683.SZ,17
000683.SZ,19
000683.SZ,17
000683.SZ,46
000683.SZ,10
000683.SZ,20
000683.SZ,25
000683.SZ,8
000683.SZ,21
000683.SZ,17
000683.SZ,27
000683.SZ,34
000685.SZ,21
000685.SZ,28
000685.SZ,25
000685.SZ,39
000685.SZ,15
000685.SZ,28
000685.SZ,12
000686.SZ,30
000686.SZ,12
000686.SZ,15
000686.SZ,14
000686.SZ,19
000686.SZ,10
000686.SZ,38
000686.SZ,28
000686.SZ,17
000686.SZ,25
000686.SZ,17
000688.SZ,20
000688.SZ,19
000688.SZ,10
000688.SZ,25
000688.SZ,29
000688.SZ,19
