trade_date,stock_code,stock_name,ts_code,path_source,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close,quality_tag,quality_tag_reason,quality_tag_industry_cap,quality_tag_rs20_floor,signal_triggered,signal_type,signal_time,signal_price,signal_reason,non_trigger_reason
20251128,600678.SH,四川金顶,600678.SH,B,A,0,0,1,0,0,0.6998369138740739,0.6468875278396437,0.5140406143529285,0.8958377074266937,0.3376623376623374,0.9570082449941107,3.0,-0.0287206266318538,0.0113141862489121,-0.0382941688424717,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251201,000886.SZ,海南高速,000886.SZ,B,G,0,0,0,0,1,0.7367577813448193,0.7204426503340757,0.7134281542371965,0.7602202105399758,0.3630136986301371,0.9211997966446364,3.0,0.014341590612777,0.0117340286831812,-0.044328552803129,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251202,600201.SH,生物股份,600201.SH,A,A,1,0,0,0,0,0.786828869605305,0.5154120267260579,0.3221499648477638,0.9925874421947186,0.5358649789029536,0.9369277721261444,1.0,0.0208835341365463,0.0441767068273093,0.0763052208835342,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251203,001226.SZ,拓山重工,001226.SZ,B,C,0,0,0,1,0,0.716223610478022,0.6438975501113586,0.4876155967768103,0.9318990097228224,0.3033811949976839,0.923741738688358,4.0,-0.0280979827089337,-0.0273775216138328,-0.0172910662824207,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251204,600118.SH,中国卫星,600118.SH,B,A,1,0,0,0,0,0.7704392232142441,0.620501113585746,0.3930020009734465,0.9939098395937608,0.4076858813700921,0.8601931875953228,3.0,0.0463504440112627,0.0608620316222654,0.0543643058262941,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251205,603129.SH,春风动力,603129.SH,B,A,0,1,0,0,0,0.7571071262779829,0.6779064587973274,0.0485033259423503,0.9469260013014372,0.3316513182792988,0.8784333672431333,3.0,0.0027703820968554,0.0105778225516297,0.0595812045765273,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251208,603660.SH,苏州科达,603660.SH,B,G,0,0,0,0,1,0.693118596767596,0.5840423162583519,0.4331093504948353,0.8488638131583343,0.449392712550608,0.9251908396946564,3.0,-0.0078277886497064,0.0107632093933462,-0.00293542074364,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-12-08 14:20:00,10.15,"tagged_prod_v1::quality_tag1::pullback_reclaim_support(support=10.136,drawdown=2.404%)",
20251209,600601.SH,方正科技,600601.SH,B,G,0,0,0,0,1,0.7147663184357813,0.6376670378619154,0.8340003244821805,0.8568072504233036,0.391304347826087,0.8606307222787386,3.0,-0.0074196207749382,0.032151690024732,0.0263808738664466,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-12-09 15:00:00,12.29,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=12.274,drawdown=2.460%)::tag0_gate_pass",
20251210,601156.SH,东航物流,601156.SH,B,G,0,0,0,0,1,0.7952154793982364,0.9013307349665924,0.4119504083067438,0.936998434348972,0.2558139534883727,0.6408952187182095,3.0,0.00595947556615,0.0202622169249107,0.0202622169249107,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251211,600577.SH,精达股份,600577.SH,B,G,0,0,0,0,1,0.6965450454387978,0.6591314031180401,0.7004759071980964,0.7999628513911312,0.4178403755868545,0.8692777212614445,3.0,0.0626702997275203,0.0626702997275203,-0.0435967302452316,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-12-11 14:05:00,11.12,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=11.060,drawdown=2.371%)::tag0_gate_pass",
20251212,000862.SZ,银星能源,000862.SZ,B,C,0,0,0,1,0,0.6584387663764301,0.6226614699331848,0.4169596019685253,0.9222547767295196,0.5652173913043493,0.9064565327910524,3.0,-0.0334394904458599,-0.0429936305732484,-0.0557324840764331,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251215,600113.SH,浙江东日,600113.SH,B,C,0,0,0,1,0,0.8131667105964843,0.6771826280623607,0.2521158942188092,0.9994361212164812,0.3081761006289306,0.9165818921668362,2.0,-0.1068835318036596,-0.0926517571884985,-0.1415916352018588,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251216,000547.SZ,航天发展,000547.SZ,A,C,0,0,0,1,0,0.84779000594884,0.4034855233853006,0.5355510789032503,0.9477169035811902,0.5244233378561737,0.9974567650050864,1.0,-0.0440508628519527,-0.0258855585831062,0.0127157129881925,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251217,000893.SZ,亚钾国际,000893.SZ,A,C,0,0,0,1,0,0.8790051917148884,0.6966703786191536,0.5992239467849224,0.9903648802568674,0.2416756176154672,0.987792472024415,1.0,-0.0238244514106583,-0.0194357366771159,-0.0183908045977011,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-12-17 11:15:00,47.85,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=47.756,drawdown=0.932%)::tag0_gate_pass",
20251218,600497.SH,驰宏锌锗,600497.SH,B,G,0,0,0,0,1,0.7754221792604767,0.7355902004454342,0.3217173219404035,0.9716145659173904,0.4235294117647049,0.8267276422764228,3.0,0.0271428571428571,0.0285714285714286,0.0271428571428571,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-12-18 14:20:00,7.02,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=7.007,drawdown=2.092%)::tag0_gate_pass",
20251219,001215.SZ,千味央厨,001215.SZ,B,C,0,0,0,1,0,0.7546949754021552,0.603184855233853,0.8988156400411011,0.9502432606465196,0.4134366925064602,0.9720386375190646,3.0,-0.018599033816425,-0.0328502415458936,-0.0628019323671498,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,tag0_gate_disable_range_break
20251222,600711.SH,盛屯矿业,600711.SH,A,A,0,0,1,0,0,0.8766851441241685,0.6314977728285077,0.8298766967714022,0.9610657517899832,0.4051724137931034,0.9450940518556176,1.0,0.030942334739803,0.0218002812939521,0.0028129395218001,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-12-22 13:10:00,14.13,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=14.109,drawdown=1.050%)::tag0_gate_pass",
20251223,000672.SZ,上峰水泥,000672.SZ,B,A,0,1,0,0,0,0.6897258833843025,0.5081570155902004,0.1774647125628684,0.9583266323809216,0.6029411764705886,0.8689690198070086,3.0,0.0376532399299474,0.0481611208406305,0.0481611208406305,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251224,605598.SH,上海港湾,605598.SH,A,A,1,0,0,0,0,0.8394167004844753,0.4518262806236079,0.6392636958520361,1.0,0.5164021164021168,0.925850685627222,2.0,0.0420875420875421,0.1462962962962963,0.1893939393939394,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251225,600329.SH,达仁堂,600329.SH,B,C,0,0,0,1,0,0.7198397118800591,0.7069654788418708,0.3850048672327078,0.9003784591079914,0.4568807339449529,0.669883189436262,3.0,-0.0069052102950407,-0.0315965683197321,-0.0338983050847456,0,baseline_only,0.5869395922340599,0.8270325203252032,1,breakout_confirm,2025-12-25 13:40:00,45.3008726,"tagged_prod_v1::quality_tag0::breakout_v11(path=B,ref=45.168,vol_ratio=2.78,hold=3)::tag0_gate_pass",
20251226,603686.SH,福龙马,603686.SH,B,G,0,0,0,0,1,0.6697716882203254,0.6446770601336301,0.4441485046779514,0.9793984924980688,0.314917127071823,0.6744540375825292,3.0,-0.0429999999999999,0.0526666666666666,-0.0103333333333333,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251229,002916.SZ,深南电路,002916.SZ,A,A,0,0,1,0,0,0.8840002666100969,,0.7710778216429615,0.9844389283572564,,0.9366015481017324,2.0,-0.0040477204942479,-0.0102684277801448,0.0328930549637835,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251230,601100.SH,恒立液压,601100.SH,B,G,0,0,0,0,1,0.7358602185795765,0.757043429844098,0.4962076145151695,0.9992739090958987,0.2421167089525188,0.8290346352247605,3.0,-0.0285487007247657,0.0031818985327911,-0.0215662011666961,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251231,600855.SH,航天长峰,600855.SH,A,A,1,0,0,0,0,0.8699007625331243,0.4891703786191537,0.7628373262668324,0.9238563733710644,0.4743276283618585,0.9524511610762992,2.0,0.0590389016018306,0.1647597254004575,0.2009153318077801,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20260105,000935.SZ,四川双马,000935.SZ,B,A,1,0,0,0,0,0.7644360697435272,0.7380345211581291,0.2985033259423503,0.9787086400207912,0.2654320987654319,0.8611418047882137,3.0,0.0015624999999999,0.0660156249999999,0.06484375,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,1,range_break_confirm,2026-01-05 14:00:00,25.54,"tagged_prod_v1::quality_tag1::range_break_v11(path=B,width=0.950%,vol_ratio=2.52)",
20260106,002501.SZ,利源股份,002501.SZ,A,G,0,0,0,0,1,0.88359661456925,,0.8312895462657508,0.982354807902433,,0.9458563535911604,1.0,-0.0315789473684211,-0.0210526315789474,-0.0526315789473683,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20260107,002284.SZ,亚太股份,002284.SZ,A,A,0,0,1,0,0,0.8698061218971392,,0.7198366773024715,0.9648312913126544,,0.9551800146950772,1.0,-0.0151228733459356,-0.0220541902961562,-0.0214240705734088,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,tag0_gate_disable_range_break
20260108,000863.SZ,三湘印象,000863.SZ,A,C,0,0,0,1,0,0.8649415932075064,0.4559075723830735,0.75625980206587,0.9717638684667694,0.4878048780487806,0.9720793534166056,2.0,0.0141732283464568,-0.0503937007874014,-0.0913385826771653,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20260109,001216.SZ,华瓷股份,001216.SZ,B,A,0,1,0,0,0,0.7733285676259886,0.8487026726057906,0.4084757449570061,0.8366881492672933,0.2480314960629918,0.6438809261300992,3.0,0.0027932960893854,0.029608938547486,0.111173184357542,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2026-01-09 14:10:00,17.85,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=17.774,drawdown=1.163%)::tag0_gate_pass",
20260112,000977.SZ,浪潮信息,000977.SZ,B,C,0,0,0,1,0,0.8005616262685613,0.7583073496659243,0.874479476502082,0.9483226782742394,0.3874734607218686,0.7905181918412348,3.0,-0.048650168728909,-0.0220753655793026,-0.0420416197975254,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20260113,000710.SZ,贝瑞基因,000710.SZ,A,C,0,0,0,1,0,0.8292085256180932,0.5110857461024498,0.6998201827916284,0.9643318616515976,0.4793577981651376,0.9326958440603162,2.0,0.0295126973232668,-0.0734385724090597,-0.1235415236787921,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20260114,000978.SZ,桂林旅游,000978.SZ,B,C,0,0,0,1,0,0.6921421490841252,0.5824916481069042,0.5263100968038505,0.9651297183936028,0.545454545454545,0.71895664952241,3.0,-0.0054421768707483,-0.021768707482993,0.0095238095238094,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2026-01-14 14:20:00,7.27,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=7.234,drawdown=0.683%)::tag0_gate_pass",
20260115,601156.SH,东航物流,601156.SH,B,G,0,0,0,0,1,0.7055871509619062,0.7999443207126948,0.5185090043805094,0.9969304954029072,0.3359375000000009,0.6270190895741556,3.0,-0.0253968253968251,0.0068783068783069,0.0264550264550265,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20260116,002426.SZ,胜利精密,002426.SZ,A,A,1,0,0,0,0,0.8398582617729634,0.4793986636971046,0.8279771240062733,0.8472224017892984,0.5300000000000002,0.9092912229159016,1.0,0.1004901960784314,0.0416666666666667,0.0563725490196076,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20260119,000823.SZ,超声电子,000823.SZ,B,G,0,0,0,0,1,0.7500028952928883,0.7512694877505567,0.7315923963009031,0.9284318884062868,0.2499999999999999,0.7141284403669724,3.0,-0.0218281036834925,-0.004774897680764,0.0395634379263301,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2026-01-19 13:05:00,14.81,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=14.694,drawdown=0.804%)::tag0_gate_pass",
20260120,600577.SH,精达股份,600577.SH,A,C,0,0,0,1,0,0.870790384511384,0.4150167037861915,0.8271997187821102,0.907471498475408,0.5285053929121725,0.9757975797579758,1.0,0.0019582245430809,0.0215404699738903,0.0110966057441252,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20260121,000059.SZ,华锦股份,000059.SZ,B,A,1,0,0,0,0,0.7534577674098898,0.7897661469933184,0.2524133362176194,0.9795742234603716,0.3181818181818185,0.7087307410124725,3.0,0.0232974910394265,0.0896057347670251,0.0913978494623655,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20260122,600888.SH,新疆众和,600888.SH,B,A,0,1,0,0,0,0.6884372294338061,0.633674832962138,0.7092504461629983,0.9585226063403272,0.4575163398692807,0.6982758620689655,3.0,0.0211817168338905,0.0278706800445931,0.0167224080267556,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,tag0_gate_pullback_dd_lt_0.006
20260123,600478.SH,科力远,600478.SH,B,C,0,0,0,1,0,0.7109326933541316,0.7076447661469933,0.9470215239846412,0.8962725538898774,0.4196428571428569,0.6978364503116978,4.0,-0.0103896103896103,-0.0532467532467532,-0.048051948051948,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,tag0_gate_pullback_dd_lt_0.006
20260126,000923.SZ,河钢资源,000923.SZ,B,C,0,0,0,1,0,0.6912894982660694,0.5721881959910913,0.490995619490563,0.9736782632701876,0.4401650618982117,0.9321100917431192,3.0,-0.0248833592534992,0.0038880248833592,0.0272161741835148,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2026-01-26 11:25:00,26.01,"tagged_prod_v1::quality_tag1::pullback_reclaim_support(support=25.825,drawdown=1.812%)",
20260127,603124.SH,江南新材,603124.SH,B,C,0,0,0,1,0,0.7473798068952026,0.5890200445434298,0.4962414147423071,0.9934926601149552,0.4177170868347338,0.8297872340425532,3.0,0.0111353939015506,0.0299719013424912,0.0311166614632114,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20260128,600201.SH,生物股份,600201.SH,B,C,0,0,0,1,0,0.7192302915476776,0.5216146993318486,0.2896814666594559,0.9922218671632714,0.4816955684007706,0.8719266055045871,3.0,-0.0155412647374061,-0.032690246516613,-0.127545551982851,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2026-01-28 13:15:00,18.79,"tagged_prod_v1::quality_tag1::pullback_reclaim_support(support=18.760,drawdown=1.053%)",
