ts_code,trade_date,quadrant,selection_state,a_subtype,score_trend_axis,score_platform_axis,score_chip_axis,score_industry_axis,score_total
600028.SH,20260120,missed_A,missed_A,mixed_A,0.11587032591794204,0.2333768949294302,0.2972968942391112,0.19576818068999752,0.18496230311519146
600295.SH,20260120,missed_A,missed_A,mixed_A,0.8609493401534267,0.3589649764767381,0.5617700915134891,0.12655125341275753,0.6257963786146731
600352.SH,20260120,missed_A,missed_A,mixed_A,0.4486645048268172,0.5267642446419236,0.5776708525966447,0.5495470340034748,0.5038584451272834
600500.SH,20260120,missed_A,missed_A,mixed_A,0.3923998401019973,0.6348274960794563,0.274052091764271,0.2818627450980392,0.3704751043647179
600552.SH,20260120,missed_A,missed_A,mixed_A,0.8588360879781514,0.25865133298484055,0.5714899276182126,0.3911330354926781,0.6568256145160146
600728.SH,20260120,missed_A,missed_A,mixed_A,0.41652043924353166,0.43081547307893364,0.28208305339393713,0.031211218664681063,0.32654421307784565
600867.SH,20260120,missed_A,missed_A,mixed_A,0.1796150919303307,0.7330109775222164,0.2830157258082495,0.09983866964507324,0.24883837561621033
600968.SH,20260120,missed_A,missed_A,mixed_A,0.1807668773216724,0.416244119184527,0.2740080875987571,0.174795234549516,0.22672915766140556
601089.SH,20260120,missed_A,missed_A,mixed_A,0.4653543804312893,0.4842394145321484,0.29023373873798824,0.22164308761479276,0.38690602949557545
601298.SH,20260120,missed_A,missed_A,mixed_A,0.03614960191550556,0.8475431259801358,0.245960980026857,0.14432861752295856,0.1859686511909244
601609.SH,20260120,missed_A,missed_A,mixed_A,0.42665445574488453,0.8009670674333507,0.41948186943118115,0.2410958054107719,0.43445877278518835
603002.SH,20260120,missed_A,missed_A,mixed_A,0.6471022273515834,0.4966806063774176,0.5434633026536182,0.8486286919831223,0.6363793037744063
603037.SH,20260120,selected_A,selected_A,high_momentum_frontline_A,0.8387048310026268,0.2377417668583377,0.8042606169876027,0.6587862993298585,0.7430096913335267
603616.SH,20260120,missed_A,missed_A,mixed_A,0.712146529308145,0.3880292733925771,0.49339710280422816,0.5176222387689253,0.595868803509726
603737.SH,20260120,missed_A,missed_A,mixed_A,0.22261611117399766,0.23285415577626764,0.5843475959082345,0.5495470340034748,0.36311242524220544
605016.SH,20260120,missed_A,missed_A,mixed_A,0.22940888392149822,0.33173026659696814,0.6861328485404862,0.5128443782576322,0.3963373374942123
605090.SH,20260120,selected_A,selected_A,mixed_A,0.8185782210731827,0.4650810245687402,0.7547411154099686,0.3785678828493423,0.7012676742733589
605196.SH,20260120,missed_A,missed_A,chip_support_A,0.5463811349297057,0.4115525352848928,0.757460358508597,0.75,0.6162109106204914
000059.SZ,20260121,missed_A,missed_A,steady_structure_A,0.47581867794713384,0.8309722948248823,0.6315714575473421,0.20951228592702906,0.510326275731945
000737.SZ,20260121,missed_A,missed_A,chip_support_A,0.4306936443868855,0.4824490329325666,0.7897673164858902,0.5537664432861753,0.5440985211010982
000878.SZ,20260121,selected_A,selected_A,mixed_A,0.784446719708362,0.555279665446942,0.740635599905726,0.5537664432861753,0.715975192868233
000951.SZ,20260121,missed_A,missed_A,mixed_A,0.09053782010938988,0.5175640355462624,0.13477311161272706,0.17343013154628942,0.15673311124444636
001333.SZ,20260121,missed_A,missed_A,chip_support_A,0.5994496239345957,0.489022477783586,0.7726275864620643,0.8445023579051875,0.6684593100469506
001339.SZ,20260121,missed_A,missed_A,mixed_A,0.47901143278681013,0.7854678515420805,0.27278959735425884,0.36370687515512534,0.44080593215944663
002004.SZ,20260121,missed_A,missed_A,mixed_A,0.4851373418433611,0.23314166231050704,,0.5385951849094068,
002240.SZ,20260121,missed_A,missed_A,mixed_A,0.379876973696671,0.39398849973863037,,0.8319372052618517,
002246.SZ,20260121,missed_A,missed_A,high_momentum_frontline_A,0.8499144473876241,0.6484579194981704,,0.8445023579051875,
002279.SZ,20260121,missed_A,missed_A,mixed_A,0.793366952192464,0.23024046001045478,,0.18574708364358403,
002552.SZ,20260121,missed_A,missed_A,high_momentum_frontline_A,0.6815404805229086,0.42237323575535807,,0.8559816331595929,
002783.SZ,20260121,missed_A,missed_A,mixed_A,0.20326105443772685,0.7961970726607422,,0.8445023579051875,
002815.SZ,20260121,missed_A,missed_A,mixed_A,0.3104688018708408,0.6331416623105071,,0.8559816331595929,
002878.SZ,20260121,missed_A,missed_A,mixed_A,0.34539117249413703,0.3061421850496602,,0.38002606105733433,
600173.SH,20260121,missed_A,missed_A,mixed_A,0.386831525563872,0.4372713016204913,0.2706708345272069,0.4196450732191611,0.36775736255866104
600176.SH,20260121,selected_A,selected_A,mixed_A,0.8758201592209415,0.6354417145844223,0.7072966853845705,0.3635827748821048,0.7328158386473712
600302.SH,20260121,selected_A,selected_A,mixed_A,0.8620129800837364,0.20081024568740197,0.8027755047572294,0.45188011913626214,0.7195634086703551
600477.SH,20260121,missed_A,missed_A,mixed_A,0.8508114223426636,0.05812859383167799,0.42381769752027076,0.20746463142218913,0.5682926896478956
600556.SH,20260121,missed_A,missed_A,mixed_A,0.8026237312726617,0.24228959749085205,0.4478256834295511,0.27618515760734674,0.5789250198839059
600916.SH,20260121,missed_A,missed_A,mixed_A,0.1793522182023389,0.5038029273392577,0.2786898476433503,0.4311243484735667,0.2743975160169678
601857.SH,20260121,missed_A,missed_A,mixed_A,0.14382276058540594,0.7735232618923157,0.38820305464237104,0.4949118888061554,0.3205512534634506
603132.SH,20260121,missed_A,missed_A,mixed_A,0.49033774762919363,0.45708311552535286,0.5767053618592654,0.6858711839166045,0.5379342034194391
603315.SH,20260121,missed_A,missed_A,mixed_A,0.12769738469873523,0.34597490852064816,0.572294330490956,0.3135083147182924,0.2885460130319153
603663.SH,20260121,missed_A,missed_A,steady_structure_A,0.18008600503032207,0.6258755880815472,0.767806840369502,0.8319372052618517,0.469372852204969
