trade_date,ts_code,name,industry,event_type_candidate,candidate_condition_count,pct_chg,vol_ratio20,close_pos,platform_range_20,entry_date,entry_possible,max_favorable_excursion,max_adverse_excursion
20260224,600470.SH,六国化工,农药化肥,breakout_strong,6,10.03,1.439521939493319,1.0,0.14121037463976951,20260225,True,0.1610284167794318,0.0
20260224,603588.SH,高能环境,环境保护,breakout_strong,6,9.0,1.3838717815330646,0.9111111111111111,0.21061946902654874,20260225,True,0.19043478260869562,-0.01043478260869557
20260224,002795.SZ,永和智控,机械基件,breakout_strong,6,10.06,1.3523972011916,1.0,0.150197628458498,20260225,True,0.13205128205128203,-0.008974358974358942
20260224,603115.SH,海星股份,铝,breakout_strong,6,9.99,1.214611086779011,1.0,0.18858001502629598,20260225,True,0.1257548845470693,-0.0248667850799289
20260224,601919.SH,中远海控,水运,breakout_strong,5,3.63,1.8605751127542645,0.9062500000000021,0.03812117086453361,20260225,True,0.14420485175202158,-0.0060646900269542
20260224,000988.SZ,华工科技,专用机械,breakout_strong,5,10.0,1.7054133131615115,1.0,0.11472623527983491,20260225,True,0.17619603267211192,-0.018436406067677935
20260224,603871.SH,嘉友国际,仓储物流,trend_high_like,5,6.93,1.580359585101989,0.8135593220338992,0.11451942740286297,20260225,True,0.10891763104152474,-0.004084411164057111
20260224,600510.SH,黑牡丹,全国地产,trend_high_like,5,5.5,1.5714827265772986,0.7183098591549284,0.09183673469387758,20260225,True,0.10429447852760743,-0.04396728016359919
20260224,601208.SH,东材科技,化工原料,trend_high_like,5,4.0,1.3728781565584884,0.27826086956521756,0.16108291032148905,20260225,True,0.2648180242634315,0.0
20260224,002348.SZ,高乐股份,文教休闲,trend_high_like,5,4.72,1.1861148363370109,0.6923076923076917,0.13757396449704137,20260225,True,0.22383720930232553,-0.008720930232558044
20260224,600869.SH,远东股份,电气设备,trend_high_like,5,9.16,1.1545188583814563,0.9009009009009014,0.2772133526850507,20260225,True,0.12255257432922417,-0.03553299492385775
20260224,600172.SH,黄河旋风,矿物制品,trend_high_like,5,9.98,0.9642720273683731,1.0,0.32905484247374567,20260225,True,0.14590347923681257,-0.01683501683501687
20260224,603727.SH,博迈科,石油开采,trend_high_like,5,9.98,0.9028630603951254,1.0,0.1538461538461539,20260225,True,0.23386183465458665,-0.014156285390713452
20260224,600110.SH,诺德股份,电气设备,trend_high_like,4,6.6,3.167530912546693,0.6065573770491802,0.14361001317523056,20260225,True,0.14564369310793235,-0.007802340702210753
20260224,603067.SH,振华股份,化工原料,trend_high_like,3,7.67,1.1050348045651315,0.8810572687224685,0.1677239279370718,20260225,True,0.19109947643979042,-0.01387434554973821
20260213,600397.SH,江钨装备,专用机械,breakout_strong,6,8.25,2.91734741068873,0.780701754385965,0.3570929419986025,20260224,True,0.39678615574783693,-0.006180469715698522
20260213,603738.SH,泰晶科技,元器件,breakout_strong,6,3.49,2.276548387819801,0.7528089887640463,0.07828134196586217,20260224,True,0.33481894150417846,-0.024512534818941334
20260213,603373.SH,安邦护卫,仓储物流,breakout_like,5,2.73,3.9252598605953852,0.3409090909090905,0.07111650485436892,20260224,True,0.11199625117150891,-0.00046860356138711534
20260213,002008.SZ,大族激光,专用机械,breakout_strong,5,2.62,1.4878913038816308,0.8186157517899765,0.17129026252094587,20260224,True,0.3864425360862416,-0.0036543029417137607
20260213,002297.SZ,博云新材,航空,trend_high_like,5,4.44,1.3245559022611393,0.8400000000000011,0.1587537091988131,20260224,True,0.11737804878048785,-0.008384146341463339
20260213,002498.SZ,汉缆股份,电气设备,trend_high_like,5,10.08,1.060943010764274,1.0,0.36906584992343033,20260224,True,0.2380281690140844,-0.00422535211267594
20260213,001203.SZ,大中矿业,普钢,trend_high_like,4,4.05,0.9488942130579465,0.7191489361702114,0.2307032590051457,20260224,True,0.2343661971830986,-0.006197183098591519
20260213,000688.SZ,国城矿业,铅锌,trend_high_like,3,2.83,0.9944311417827875,0.6868686868686882,0.25651241189089796,20260224,True,0.14526823387582888,-0.018083182640144746
20260212,603088.SH,宁波精达,机床制造,breakout_strong,6,10.0,2.247370675523191,1.0,0.12459283387622146,20260213,True,0.11234177215189867,-0.020569620253164556
20260212,600960.SH,渤海汽车,汽车配件,breakout_strong,5,10.1,3.841170914189755,1.0,0.10357142857142859,20260213,True,0.1210526315789473,-0.01754385964912286
20260212,603155.SH,新亚强,化工原料,breakout_strong,5,9.09,3.5255435782172615,0.9191919191919191,0.1123052122514777,20260213,True,0.2243093922651933,-0.014917127071823355
20260211,600080.SH,金花股份,中成药,breakout_like,6,4.01,3.6527088540521095,0.4383561643835618,0.061274509803921566,20260212,True,0.10814094775212624,-0.015795868772782606
20260211,002448.SZ,中原内配,汽车配件,trend_high_like,5,4.58,1.3855682703397794,0.5299999999999994,0.15400134498991253,20260212,True,0.14854111405835546,-0.0006631299734748408
20260211,600522.SH,中天科技,通信设备,breakout_like,5,1.93,1.2228220438882105,0.5021834061135367,0.2768039135752141,20260212,True,0.10271782573940857,-0.033573141486810565
20260211,600966.SH,博汇纸业,造纸,trend_high_like,5,4.99,1.1671941387141098,0.8599999999999994,0.17183462532299743,20260212,True,0.1197007481296759,-0.006234413965087282
20260211,002080.SZ,中材科技,玻璃,trend_high_like,5,10.0,0.5236368393546251,1.0,0.20655080213903748,20260212,True,0.12071129707112971,-0.023012552301255096
20260211,600685.SH,中船防务,船舶,trend_high_like,4,1.73,1.5697682004102316,0.5141700404858286,0.12040229885057466,20260212,True,0.1230769230769233,-0.010946745562130156
20260210,605589.SH,圣泉集团,化工原料,breakout_strong,6,6.11,2.216064550759365,0.7038461538461528,0.08548644338118021,20260211,True,0.11019108280254786,-0.0031847133757960666
20260210,605318.SH,法狮龙,其他建材,breakout_like,6,5.09,1.5537364379541692,0.5920826161790012,0.15423753452536715,20260211,True,0.13992590481618694,-0.035765175263607896
20260210,002859.SZ,洁美科技,元器件,breakout_strong,6,6.5,1.306082783010782,0.923875432525952,0.26629889669007023,20260211,True,0.14643304130162682,-0.013767209011264159
20260210,603950.SH,长源东谷,汽车配件,breakout_strong,6,3.96,1.2459183445147235,0.8258706467661683,0.15196223074653295,20260211,True,0.19335260115606934,-0.007514450867051936
