signal_date,confirm_date,ts_code,name,industry,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,confirm_open,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t1_open,ret_t2,ret_t2_open,ret_t3,ret_t3_open
20251120,20251121,600331.SH,宏达股份,农药化肥,74.26,0.9427662957074722,0.08333333333333333,0.07274247491638788,11.25,11.27,11.72,10.73,A,2.1,-0.06211180124223592,-0.09812286689419802,-0.04081632653061218,-0.07764505119453924,-0.03815439219165928,-0.07508532423208203
20251125,20251126,603338.SH,浙江鼎力,工程机械,72.12,0.846927966101695,0.03333333333333333,0.05854197349042709,55.22,55.33,54.26,53.56,A,1.27,-0.00777155250316286,0.01179506081828241,0.017531176576902174,0.03759675635827486,0.006506416049159469,0.02635458901584964
20251125,20251126,603638.SH,艾迪精密,专用机械,69.14,0.9258474576271186,0.3333333333333333,0.07788944723618095,19.88,19.92,20.0,19.31,A,1.92,-0.0010040160642571516,-0.0050000000000001155,0.011044176706827225,0.007000000000000117,0.005020080321284981,0.0009999999999998899
20251126,20251127,600690.SH,海尔智家,家用电器,71.0,0.8771186440677966,0.21666666666666667,0.04708029197080289,27.54,27.6,27.31,26.9,A,1.34,-0.0007246376811594901,0.009886488465763454,-0.004710144927536297,0.0058586598315635285,0.005797101449275477,0.016477480776272424
20251127,20251128,605507.SH,国邦医药,化学制药,62.01,0.8675847457627118,0.38333333333333336,0.050685500623182334,24.11,24.16,24.1,23.48,A,1.21,0.009519867549668826,0.012033195020746845,0.005794701986755024,0.008298755186721962,0.013658940397350827,0.016182572614107826
20251128,20251201,603338.SH,浙江鼎力,工程机械,71.38,0.8341282458929518,0.016666666666666666,0.05808170515097684,55.98,56.09,56.3,54.35,B,1.03,-0.014441076840791656,-0.018117229129662404,0.05794259226243548,0.053996447602131514,0.06650026742734894,0.0625222024866785
20251128,20251201,605507.SH,国邦医药,化学制药,61.23,0.8139904610492846,0.35,0.05548602419691274,24.22,24.27,23.94,23.61,A,1.87,0.0012360939431397266,0.015037593984962294,0.0090646889163577,0.022974101921470202,0.006592501030078246,0.020467836257309857
20251202,20251203,603187.SH,海容冷链,机械基件,71.52,0.8789664551223935,0.05,0.05874673629242822,15.5,15.53,15.24,15.02,B,1.12,-0.030264005151319995,-0.011811023622047223,-0.02446877012234383,-0.0059055118110236116,-0.051513200257565894,-0.0334645669291338
20251203,20251204,603338.SH,浙江鼎力,工程机械,73.8,0.9039855072463768,0.15,0.06471183013144584,56.55,56.66,59.28,54.67,A,1.24,0.07042004941757862,0.023110661268555877,0.07147899752912124,0.02412280701754388,0.06900811860218847,0.021761133603238836
20251205,20251208,601318.SH,中国平安,保险,60.5,0.8173991844132307,0.45,0.03339248265849331,60.22,60.34,62.04,58.81,A,1.65,0.03496851176665561,0.006608639587363019,0.03662578720583354,0.00822050290135401,0.03629433211799804,0.0078981302385559
20251217,20251218,600298.SH,安琪酵母,食品,63.06,0.8278985507246377,0.11666666666666667,0.04918426103646826,41.86,41.94,41.54,40.76,A,1.39,0.06318550309966642,0.07342320654790568,0.08726752503576551,0.09773712084737607,0.05412494039103488,0.06427539720751096
20251217,20251218,600993.SH,马应龙,中成药,65.65,0.8740942028985508,0.13333333333333333,0.04844762879563295,29.44,29.5,29.21,28.79,A,1.43,0.021016949152542486,0.031153714481342076,0.0077966101694915135,0.017802122560766742,-0.017966101694915304,-0.008216364258815556
20251217,20251218,601156.SH,东航物流,仓储物流,63.85,0.8546195652173914,0.25,0.06029579067121743,17.26,17.29,17.55,16.86,B,1.1,0.037015615962984416,0.02165242165242165,0.055523423944476624,0.03988603988603989,0.03990746096009268,0.024501424501424562
20251217,20251218,603313.SH,梦百合,家居用品,60.94,0.8519021739130435,0.1,0.0688935281837161,9.64,9.66,9.53,9.33,B,1.19,0.013457556935817738,0.02728226652675758,0.005175983436852993,0.018887722980063026,-0.005175983436853104,0.008394543546694555
20251217,20251218,605099.SH,共创草坪,文教休闲,62.42,0.8106884057971014,0.35,0.07753796962430047,38.11,38.19,37.4,36.41,B,1.15,-0.002356637863314859,0.018716577540107027,0.012306886619533941,0.033689839572192515,0.0010473946059177397,0.02219251336898398
20251218,20251219,600795.SH,国电电力,火力发电,85.41,0.9104072398190045,0.016666666666666666,0.05008347245409012,5.96,5.97,5.99,5.83,A,1.66,-0.0167504187604689,-0.02003338898163609,-0.01005025125628134,-0.013355592654424098,-0.00670016750418756,-0.010016694490818101
20251218,20251219,600993.SH,马应龙,中成药,66.85,0.8923076923076924,0.31666666666666665,0.047747141896435835,29.44,29.5,29.77,28.73,A,1.37,0.0077966101694915135,-0.0013436345314074005,-0.017966101694915304,-0.02687269062814912,-0.02745762711864408,-0.03627813234800126
