signal_date,confirm_date,ts_code,name,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t2,ret_t3
20260107,20260108,600089.SH,特变电工,70.06,0.8155737704918032,0.016666666666666666,0.07730467135179815,23.79,23.84,22.89,B,1.14,0.04614093959731558,0.043624161073825496,0.14807046979865768
20260107,20260108,600312.SH,平高电气,68.26,0.8130517023959647,0.08333333333333333,0.07987048030221265,18.64,18.68,18.06,B,1.14,0.016595289079229136,0.020342612419700146,0.058886509635974305
20260107,20260108,600352.SH,浙江龙盛,63.93,0.8221941992433796,0.23333333333333334,0.04691572545612519,11.15,11.17,10.92,A,1.33,0.009847806624887934,0.009847806624887934,0.0008952551477170445
20260108,20260109,600039.SH,四川路桥,71.2,0.804162724692526,0.35,0.05048543689320384,10.19,10.21,9.85,B,1.02,0.023506366307541438,0.0186092066601371,-0.0009794319294810228
20260108,20260109,603499.SH,翔港科技,68.26,0.8546199936928414,0.45,0.06858710562414266,21.24,21.28,20.26,A,1.53,0.07283834586466154,0.04981203007518786,0.03054511278195471
20260109,20260112,603132.SH,金徽股份,70.27,0.8233438485804416,0.23333333333333334,0.07717041800643082,15.35,15.38,14.77,A,1.31,0.020156046814044037,0.01820546163849146,0.057217165149545
20260112,20260113,600570.SH,恒生电子,66.02,0.8035320088300221,0.16666666666666666,0.06433273488928781,31.75,31.81,30.85,A,2.55,0.10436969506444527,0.07639107198994033,0.04369695064445156
20260112,20260113,603889.SH,新澳股份,60.75,0.8420056764427626,0.43333333333333335,0.07462686567164173,8.26,8.28,7.88,A,2.38,0.09420289855072483,0.07487922705314021,0.07608695652173925
20260115,20260116,600487.SH,亨通光电,79.7,0.9064566929133858,0.36666666666666664,0.06463267763950219,25.39,25.44,24.31,B,1.09,0.06446540880503138,0.09198113207547176,0.09944968553459099
20260115,20260116,603002.SH,宏昌电子,65.35,0.805984251968504,0.38333333333333336,0.06837606837606833,7.92,7.94,7.63,A,2.65,0.016372795969773257,0.027707808564231717,0.07556675062972285
20260116,20260119,600487.SH,亨通光电,78.84,0.8551181102362204,0.3333333333333333,0.06281701131486538,25.39,25.44,24.35,A,1.5,0.09198113207547176,0.09944968553459099,0.06092767295597468
20260116,20260119,603500.SH,祥和实业,69.72,0.8198425196850394,0.08333333333333333,0.07793209876543208,12.83,12.86,12.49,B,1.1,0.043545878693623585,0.0738724727838258,0.06531881804043538
20260120,20260121,603098.SH,森特股份,74.02,0.8254167977351369,0.016666666666666666,0.06598639455782318,14.8,14.83,14.38,B,1.18,0.022926500337154376,0.061362103843560334,0.06405933917734319
20260120,20260121,605111.SH,新洁能,63.29,0.8096885813148789,0.43333333333333335,0.07016632016632024,38.43,38.51,37.17,B,1.14,0.1023110880290834,0.11139963645806272,0.12204622176058177
20260121,20260122,603798.SH,康普顿,69.89,0.8401007239534152,0.26666666666666666,0.07808142777467943,17.35,17.38,16.53,B,1.04,0.06501726121979301,-0.0414269275028768,-0.09436133486766396
20260204,20260205,601872.SH,招商轮船,78.31,0.9672955974842767,0.43333333333333335,0.07916666666666676,11.64,11.66,10.97,B,1.05,-0.025728987993139052,0.030874785591766596,0.05660377358490565
20260209,20260210,600163.SH,中闽能源,68.09,0.8058527375707992,0.21666666666666667,0.05657237936772044,6.02,6.03,5.82,B,1.1,0.0016583747927030323,0.018242122719734466,-0.009950248756218971
20260224,20260225,600539.SH,狮头股份,71.36,0.8352719270669601,0.2,0.044386422976501284,11.2,11.22,10.82,A,1.45,0.048128342245989275,0.039215686274509665,-0.021390374331550777
20260224,20260225,600929.SH,雪天盐业,71.98,0.8440741905061302,0.38333333333333336,0.043548387096774124,6.22,6.23,6.05,A,1.25,0.05617977528089879,0.052969502407704594,0.052969502407704594
20260225,20260226,600929.SH,雪天盐业,73.18,0.8622208241585404,0.43333333333333335,0.04545454545454546,6.24,6.25,6.05,A,1.22,0.049599999999999866,0.049599999999999866,0.02400000000000002
20260226,20260227,600510.SH,黑牡丹,65.57,0.8672120830711139,0.4666666666666667,0.07264150943396222,9.99,10.01,9.49,A,1.64,-0.020979020979020935,-0.06593406593406592,-0.08391608391608385
