signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,ambiguous_intrabar,volume_ratio,platform_range,chip_concentration,chip_low_position
20260126,20260127,20260127,1,603612.SH,索通发展,breakout,66.2,0.2649,29.9,28.86,29.9,28.86,stop_loss,-0.034782608695652195,-1.0,0.03478260869565215,0,0,0,0,2.77,17.32,12.25,46.07
20260126,20260127,20260127,1,605089.SH,味知香,pullback,54.22,0.2262,32.35,31.0,32.35,31.0,stop_loss,-0.04173106646058733,-1.0,0.04173106646058737,0,0,0,0,1.67,23.58,12.66,39.21
20260126,20260127,20260127,1,605111.SH,新洁能,pullback,56.72,0.3883,43.21,42.72,43.21,43.21,intrabar_mid,0.0,0.0,0.011339967600092617,1,1,1,1,1.73,17.25,12.85,50.34
20260127,20260128,20260128,1,600539.SH,狮头股份,pullback,61.56,0.3941,11.33,11.11,11.33,11.11,stop_loss,-0.019417475728155442,-1.0,0.019417475728155397,0,0,0,0,1.3,12.74,7.32,21.17
20260127,20260128,20260202,4,603139.SH,康惠股份,pullback,60.83,0.2749,24.09,23.09,24.43,23.09,stop_loss,-0.05485059353254196,-1.0,0.05485059353254195,0,0,0,0,2.06,15.43,7.72,45.43
20260127,20260128,20260203,5,603326.SH,我乐家居,pullback,62.41,0.2696,9.99,9.71,10.0,10.03,time_exit,0.0029999999999998916,0.10344827586206706,0.028999999999999915,1,0,0,0,0.79,14.73,7.74,52.58
20260128,20260129,20260130,2,600111.SH,北方稀土,breakout,68.44,0.5112,52.98,52.34,53.99,52.34,stop_loss,-0.03056121503982212,-1.0,0.030561215039822162,1,1,0,0,2.51,8.72,8.59,52.45
20260128,20260129,20260129,1,603220.SH,中贝通信,pullback,55.78,0.3255,25.83,25.36,25.83,25.36,stop_loss,-0.018195896244676657,-1.0,0.018195896244676688,0,0,0,0,1.37,19.0,10.11,46.59
20260128,20260129,20260130,2,603393.SH,新天然气,breakout,64.12,0.2817,31.33,30.34,31.56,30.34,stop_loss,-0.03865652724968316,-1.0,0.03865652724968311,0,0,0,0,4.38,11.26,7.23,48.99
20260128,20260129,20260129,1,605366.SH,宏柏新材,pullback,63.2,0.3263,7.18,7.04,7.18,7.04,stop_loss,-0.01949860724233976,-1.0,0.019498607242339788,0,0,0,0,1.33,12.5,8.11,51.52
20260129,20260130,20260130,1,000951.SZ,中国重汽,pullback,59.22,0.2648,19.43,19.1,19.43,19.1,stop_loss,-0.016984045290787342,-1.0,0.016984045290787356,0,0,0,0,1.52,15.84,7.63,41.92
20260129,20260130,20260202,2,600418.SH,江淮汽车,breakout,61.89,0.272,55.01,53.44,55.01,53.44,stop_loss,-0.028540265406289733,-1.0,0.02854026540628977,0,0,0,0,1.7,12.32,7.37,40.98
20260129,20260130,20260205,5,603326.SH,我乐家居,pullback,59.29,0.264,10.0,9.77,10.0,10.2,time_exit,0.020000000000000018,0.8695652173912997,0.02300000000000004,1,1,0,0,0.89,14.73,7.93,53.51
20260129,20260130,20260203,3,605337.SH,李子园,pullback,58.88,0.2049,13.62,13.11,13.64,13.64,intrabar_mid,0.0,0.0,0.03885630498533733,1,1,0,1,2.98,14.84,8.42,39.71
20260203,20260204,20260206,3,000599.SZ,青岛双星,pullback,61.76,0.2379,7.36,7.08,7.36,7.08,stop_loss,-0.03804347826086962,-1.0,0.038043478260869595,1,1,0,0,1.63,21.13,9.36,49.13
20260203,20260204,20260205,2,603331.SH,百达精工,pullback,51.57,0.3469,16.35,15.98,16.36,15.98,stop_loss,-0.023227383863080653,-1.0,0.023227383863080625,1,0,0,0,1.32,21.92,12.4,66.62
20260204,20260205,20260209,3,001278.SZ,一彬科技,pullback,54.87,0.2369,24.51,23.95,24.51,24.51,intrabar_mid,0.0,0.0,0.022847817217462353,1,0,0,1,0.94,21.19,11.37,67.06
20260204,20260205,20260205,1,601890.SH,亚星锚链,breakout,61.16,0.3297,11.22,11.08,11.22,11.08,stop_loss,-0.012477718360071388,-1.0,0.012477718360071352,0,0,0,0,1.63,8.94,5.56,46.6
20260205,20260206,20260206,1,001979.SZ,招商蛇口,pullback,56.91,0.1581,10.92,10.78,10.92,10.78,stop_loss,-0.012820512820512886,-1.0,0.012820512820512872,0,0,0,0,0.77,18.45,12.18,56.19
20260205,20260206,20260212,5,600072.SH,中船科技,pullback,52.53,0.2423,12.85,12.68,12.85,12.85,intrabar_mid,0.0,0.0,0.013229571984435792,1,1,0,1,3.08,16.65,6.81,49.66
20260206,20260209,20260213,5,600463.SH,空港股份,pullback,60.73,0.4179,12.05,11.83,12.05,12.42,time_exit,0.03070539419087126,1.6818181818181734,0.018257261410788435,1,1,0,0,1.25,12.09,6.56,43.4
20260206,20260209,20260213,5,603010.SH,万盛股份,pullback,58.16,0.2485,12.08,11.38,12.1,11.77,time_exit,-0.027272727272727226,-0.45833333333333415,0.05950413223140487,0,0,0,0,1.33,19.72,11.33,37.59
20260209,20260210,20260212,3,000570.SZ,苏常柴Ａ,breakout,61.93,0.2455,6.09,6.0,6.09,6.0,stop_loss,-0.014778325123152691,-1.0,0.014778325123152686,0,0,0,0,1.56,7.92,5.03,53.26
20260209,20260210,20260212,3,600072.SH,中船科技,pullback,55.88,0.2326,13.2,12.8,13.2,12.76,gap_stop,-0.033333333333333326,-1.1000000000000028,0.030303030303030196,0,0,0,0,1.72,16.65,6.56,50.83
20260209,20260210,20260224,5,600463.SH,空港股份,pullback,60.83,0.4112,12.18,11.99,12.18,12.06,time_exit,-0.009852216748768461,-0.6315789473684186,0.015599343185550042,1,1,0,0,1.2,12.09,6.56,43.4
20260210,20260211,20260211,1,000570.SZ,苏常柴Ａ,pullback,60.77,0.2423,6.1,6.07,6.1,6.1,intrabar_mid,0.0,0.0,0.004918032786885141,1,0,0,1,1.08,7.82,5.03,53.26
20260210,20260211,20260225,5,000590.SZ,古汉医药,pullback,57.91,0.5137,12.39,12.2,12.39,12.37,time_exit,-0.0016142050040356404,-0.10526315789474323,0.015334947538337472,1,0,0,0,1.39,11.84,6.53,41.34
20260210,20260211,20260211,1,001221.SZ,悍高集团,pullback,59.85,0.2576,76.53,74.18,77.04,74.18,stop_loss,-0.037123572170301156,-1.0,0.037123572170301135,0,0,0,0,1.03,18.05,13.1,29.87
20260210,20260211,20260225,5,001358.SZ,兴欣新材,breakout,61.59,0.2543,30.1,29.65,30.1,30.42,time_exit,0.010631229235880335,0.7111111111111073,0.014950166112956905,1,1,1,0,2.01,11.55,8.46,68.34
20260210,20260211,20260211,1,600072.SH,中船科技,pullback,54.5,0.2406,13.0,12.84,13.0,12.84,stop_loss,-0.012307692307692353,-1.0,0.012307692307692318,0,0,0,0,1.06,16.65,6.56,50.83
20260210,20260211,20260211,1,600463.SH,空港股份,pullback,61.48,0.4078,12.19,12.1,12.19,12.19,intrabar_mid,0.0,0.0,0.007383100902378988,1,0,0,1,1.01,13.58,6.56,43.4
20260210,20260211,20260211,1,603188.SH,亚邦股份,breakout,57.88,0.4145,6.01,5.93,6.01,6.01,intrabar_mid,0.0,0.0,0.013311148086522475,1,1,0,1,4.57,19.59,13.58,60.73
20260211,20260212,20260212,1,000570.SZ,苏常柴Ａ,pullback,63.55,0.207,6.09,6.05,6.1,6.05,stop_loss,-0.008196721311475419,-1.0,0.00819672131147538,0,0,0,0,0.69,7.97,5.03,53.26
20260211,20260212,20260212,1,000590.SZ,古汉医药,pullback,58.11,0.5092,12.47,12.38,12.47,12.38,stop_loss,-0.007217321571772239,-1.0,0.007217321571772242,0,0,0,0,1.04,12.75,6.53,41.34
20260211,20260212,20260212,1,001358.SZ,兴欣新材,breakout,65.65,0.2444,31.01,30.39,31.01,30.39,stop_loss,-0.019993550467591104,-1.0,0.01999355046759113,0,0,0,0,1.82,10.13,9.16,64.91
20260211,20260212,20260225,4,600463.SH,空港股份,pullback,65.59,0.4049,12.32,12.01,12.32,12.01,stop_loss,-0.025162337662337664,-1.0,0.025162337662337702,0,0,0,0,0.89,13.72,6.23,41.72
