watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20251124,600282.SH,南钢股份,73.16,5.6,5.79,5.8,5.6,0.8814,6.43,普钢
20251124,603338.SH,浙江鼎力,70.25,54.06,55.22,55.33,53.5,0.821,5.88,工程机械
20251125,600507.SH,方大特钢,80.63,5.91,6.4,6.41,6.21,0.8771,7.78,特种钢
20251125,601058.SH,赛轮轮胎,73.4,15.67,16.55,16.58,16.06,0.8633,6.06,汽车配件
20251125,603338.SH,浙江鼎力,72.12,54.32,55.22,55.33,53.56,0.8469,5.85,工程机械
20251125,601398.SH,工商银行,71.66,8.31,8.4,8.42,8.22,0.8077,3.97,银行
20251125,603638.SH,艾迪精密,69.14,19.9,19.88,19.92,19.31,0.9258,7.79,专用机械
20251126,601058.SH,赛轮轮胎,74.96,15.85,16.55,16.58,16.08,0.8125,6.31,汽车配件
20251126,603338.SH,浙江鼎力,72.81,55.53,55.22,55.33,53.57,0.8517,5.73,工程机械
20251126,600690.SH,海尔智家,71.0,27.4,27.54,27.6,26.9,0.8771,4.71,家用电器
20251127,600690.SH,海尔智家,70.31,27.59,27.46,27.51,26.78,0.8565,4.39,家用电器
20251127,603043.SH,广州酒家,64.41,17.22,17.52,17.56,17.1,0.875,5.4,食品
20251127,605507.SH,国邦医药,62.01,24.07,24.11,24.16,23.48,0.8676,5.07,化学制药
20251128,603338.SH,浙江鼎力,71.38,56.3,55.98,56.09,54.35,0.8341,5.81,工程机械
20251128,600282.SH,南钢股份,64.47,5.51,5.79,5.8,5.6,0.8029,6.9,普钢
20251128,605507.SH,国邦医药,61.23,23.97,24.22,24.27,23.61,0.814,5.55,化学制药
20251201,605507.SH,国邦医药,64.63,24.39,24.22,24.27,23.59,0.836,5.45,化学制药
20251202,600426.SH,华鲁恒升,73.42,28.66,29.18,29.24,27.92,0.9225,7.71,农药化肥
20251202,603187.SH,海容冷链,71.52,15.32,15.5,15.53,15.02,0.879,5.87,机械基件
20251203,600426.SH,华鲁恒升,76.95,29.05,29.1,29.16,27.85,0.9325,7.33,农药化肥
20251203,603338.SH,浙江鼎力,73.8,59.34,56.55,56.66,54.67,0.904,6.47,工程机械
20251203,603187.SH,海容冷链,73.37,15.37,15.42,15.45,14.93,0.8836,5.34,机械基件
20251203,600346.SH,恒力石化,73.35,19.59,19.85,19.89,19.05,0.9049,7.91,石油加工
20251203,600060.SH,海信视像,70.59,26.22,26.45,26.5,25.65,0.8519,7.55,家用电器
20251204,600060.SH,海信视像,71.51,26.19,26.5,26.55,25.74,0.8659,7.56,家用电器
20251204,600298.SH,安琪酵母,70.91,41.43,41.87,41.95,40.69,0.8705,7.87,食品
20251204,603187.SH,海容冷链,69.68,15.06,15.55,15.58,15.05,0.8682,6.31,机械基件
20251204,600887.SH,伊利股份,68.35,28.99,29.77,29.83,29.21,0.8519,3.52,乳制品
20251205,600426.SH,华鲁恒升,77.52,29.39,29.27,29.33,28.06,0.894,7.83,农药化肥
20251205,603187.SH,海容冷链,75.36,15.15,15.55,15.58,15.09,0.8654,6.27,机械基件
