signal_date,ts_code,ret_t1,ret_t2,ret_t3
20250728,600507.SH,0.036713286713286664,0.02622377622377625,0.022727272727272707
20250728,000758.SZ,-0.006339144215530945,-0.030110935023771712,-0.06497622820919169
20250729,001359.SZ,-0.042840602084137425,-0.03956001543805476,-0.026823620223851763
20250729,600580.SH,-0.025423728813559365,-0.032627118644067976,-0.0474576271186441
20250730,600537.SH,-0.08188585607940446,-0.06451612903225812,-0.07692307692307698
20250730,603716.SH,-0.011198945981554687,0.050065876152832756,-0.023386034255599486
20250731,601699.SH,-0.023622047244094446,-0.016463851109520422,0.02004294917680749
20250731,603109.SH,-0.0368421052631579,-0.03878116343490301,0.0041551246537396835
20250801,600513.SH,0.1716375914462578,0.21046707934721454,0.25942599887450757
20250801,000796.SZ,-0.011152416356877248,0.01115241635687747,-0.03903345724907059
20250804,605277.SH,-0.015000000000000013,-0.04357142857142848,-0.08499999999999996
20250805,000796.SZ,-0.017110266159695797,-0.04752851711026618,-0.04372623574144474
20250805,001267.SZ,-0.016961651917404175,-0.042772861356932146,-0.053834808259587086
20250806,603367.SH,0.11525423728813555,0.13593220338983047,0.14915254237288122
20250807,601869.SH,0.06356174842527196,0.04790990647070048,0.06795189921740796
20250807,601089.SH,0.03098885793871875,0.08321727019498604,0.06685236768802238
20250808,605118.SH,-0.010282021151586385,-0.014394829612220938,-0.008519388954171592
20250808,603286.SH,0.001818181818181941,-0.007878787878787818,0.0675757575757574
20250811,001306.SZ,0.004474040162314008,0.01248569347622519,-0.0009364270107169448
20250811,603119.SH,-0.020979020979020935,-0.013209013209013132,-0.04351204351204352
20250812,601869.SH,0.05009174311926601,-0.032110091743119296,-0.023119266055045884
20250812,605189.SH,-0.010065127294257015,-0.04973357015985791,-0.014801657785671996
20250813,600651.SH,-0.06959152798789714,-0.06505295007564305,-0.07110438729198199
20250813,603811.SH,-0.03065134099616862,-0.026819923371647514,-0.023627075351213334
20250814,601089.SH,0.017019910083494016,0.015093127809890694,-0.010918432883750828
20250814,603773.SH,-0.023086654016445274,-0.022770398481973486,-0.02024035420619863
20250815,600513.SH,0.11342685370741501,0.1811623246492986,0.15390781563126255
20250815,603319.SH,0.028837751237984266,0.0052432274978153615,0.05418001747742496
20250818,603319.SH,-0.005475504322766667,0.04293948126801128,0.008069164265129602
20250819,605298.SH,-0.02824858757062154,-0.0425901781833985,0.03389830508474567
20250820,600366.SH,-0.0030229746070133956,0.0193470374848852,0.04897218863361563
20250820,605228.SH,-0.005580357142857206,-0.0078125,-0.0418526785714286
20250821,600255.SH,-0.01969365426695835,-0.03938730853391703,-0.052516411378555894
