watch_date,entry_date,ts_code,name,industry,signal_score,pivot,trigger_price,stop_loss,confirm_time,entry_price,entry_bar_close,volume_ratio,vol_ma20_prev,signal_grade,position_ratio,ret_close0,ret_t1,ret_t2,ret_t3
20250825,20250826,603089.SH,正裕工业,汽车配件,82.07,16.9,16.93,16.08,13:55:00,16.93,16.32,1.0107092068677437,134130.56800000003,B,0.5,-0.04016538688718252,-0.06733608978145311,-0.09923213230950978,-0.09273479031305376
20251015,20251016,601059.SH,信达证券,证券,62.96,19.65,19.69,18.87,10:15:00,19.69,20.5971773,1.05683884540309,429616.11600000004,B,0.5,0.032503809040121734,0.015744032503808958,0.011173184357541777,0.003047232097511454
20251016,20251017,603069.SH,海汽集团,公共交通,68.2,22.79,22.84,21.8,11:05:00,22.84,24.1,1.010368414050948,110563.6305,B,0.5,0.06392294220665495,0.1703152364273206,0.2548161120840631,0.15893169877408053
20251029,20251030,600773.SH,西藏城投,区域地产,64.06,11.47,11.49,11.13,10:20:00,11.49,11.58,1.0075623588692848,124973.9025,B,0.5,0.08790252393385556,0.07484769364664912,0.08006962576153165,0.0983463881636204
20251029,20251030,601336.SH,新华保险,保险,66.88,70.5,70.64,67.83,14:20:00,70.64,70.39975332,1.0091674087053195,277832.00049999997,B,0.5,0.0036806342015855975,-0.040062287655719064,-0.057899207248018114,-0.055067950169875424
20251031,20251103,603536.SH,惠发食品,食品,71.54,11.33,11.35,10.89,11:30:00,11.35,11.8,1.0024257476691405,110730.396,B,0.5,0.05550660792951545,0.05638766519823801,0.08546255506607925,0.12334801762114544
20251103,20251104,000159.SZ,国际实业,石油贸易,73.94,6.23,6.24,6.07,14:45:00,6.24,6.2,1.0187328209837752,174636.5645,B,0.5,-0.004807692307692402,0.009615384615384581,0.0032051282051281937,0.019230769230769162
20251103,20251104,600444.SH,国机通用,专用机械,75.51,18.86,18.9,18.22,09:35:00,18.9,20.52,1.0269859726445474,68990.23150000001,B,0.5,0.08359788359788367,0.06402116402116409,0.10476190476190483,0.07513227513227516
20251103,20251104,600526.SH,菲达环保,环境保护,66.87,5.63,5.64,5.47,13:15:00,5.64,5.65,1.0010127077838116,156176.83849999998,B,0.5,0.0,0.015957446808510856,0.02127659574468077,0.03900709219858167
20251105,20251106,603105.SH,芯能科技,电气设备,69.35,9.61,9.63,9.29,09:35:00,9.63,10.84,1.489712636224787,136750.535,A,1.0,0.10488058151609558,0.1298026998961579,0.13811007268951192,0.15057113187954307
20251106,20251107,600257.SH,大湖股份,渔业,75.37,5.87,5.88,5.72,13:25:00,5.88,6.05,1.002193994236654,157054.42349999998,B,0.5,0.03401360544217691,0.028911564625850428,0.04081632653061229,0.03231292517006801
20251106,20251107,603126.SH,中材节能,环境保护,66.07,7.43,7.44,7.23,14:50:00,7.44,7.51,1.016049945959613,117012.94850000001,B,0.5,0.009408602150537515,0.04166666666666652,0.03629032258064502,0.029569892473118253
20251107,20251110,600075.SH,新疆天业,化工原料,66.62,5.01,5.02,4.88,09:45:00,5.02,5.24,1.093138906139049,228960.838,B,0.5,0.02788844621513964,0.033864541832669515,0.02589641434262968,0.09362549800796827
20251110,20251111,000159.SZ,国际实业,石油贸易,72.73,6.44,6.45,6.25,13:20:00,6.45,6.67,1.003923811905331,182100.472,B,0.5,0.03410852713178292,0.03875968992248069,0.03875968992248069,0.06201550387596888
